fuel_liters,ice_kg,water_liters,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr
6920.78,5069.31,5934.18,2975935.4,60831.72,0.0
0.0,18.19,9.65,0.0,218.28,48.25
356.29,346.55,821.06,153204.7,4158.6,0.0
127.71,31.81,18.27,47252.7,381.72,91.35
672.72,288.95,658.44,269088.0,3467.4,0.0
90.63,24.12,16.94,16041.51,289.44,84.7
105.4,29.4,19.72,47430.0,352.8,98.6
82.69,47.17,28.05,14636.13,566.04,140.25
244.12,55.54,36.89,102530.4,666.48,184.45
7021.99,4669.9,4152.0,2029355.11,56038.8,0.0
112.04,21.85,12.56,50418.0,262.2,62.8
73.06,20.9,10.74,24840.4,250.8,53.7
12770.45,5398.43,6211.63,5491293.5,64781.16,0.0
5435.72,8640.28,11465.7,2283002.4,103683.36,0.0
15997.62,5651.22,7016.48,6399048.0,67814.64,0.0
203.39,38.15,23.26,36000.03,457.8,116.3
0.0,21.58,10.28,0.0,258.96,51.4
5628.23,3846.96,4271.39,990568.48,46163.52,0.0
158.68,117.2,239.87,68232.4,1406.4,0.0
8615.97,9555.22,11167.52,3618707.4,114662.64,0.0
111.37,67.39,40.33,19712.49,808.68,201.65
141.98,20.84,11.54,63891.0,250.08,57.7
145.44,70.68,166.11,62539.2,848.16,830.55
496.75,272.74,554.24,213602.5,3272.88,0.0
274.01,41.44,24.29,92615.38,497.28,121.45
283.26,224.3,447.29,124634.4,2691.6,0.0
10526.22,6602.81,7795.54,4526274.6,79233.72,0.0
469.46,387.89,644.34,56804.66,4654.68,0.0
113.18,21.47,11.48,38254.84,257.64,57.4
142.3,21.27,8.86,48097.4,255.24,44.3
105.88,28.44,18.56,26893.52,341.28,92.8
135.29,20.81,12.12,23946.33,249.72,60.6
755.98,201.09,417.38,332631.2,2413.08,0.0
3852.15,2962.2,3232.19,466110.15,35546.4,0.0
258.19,43.39,24.11,116185.5,520.68,120.55
151.32,105.37,184.52,65067.6,1264.44,0.0
14462.35,9781.81,10859.3,5784940.0,117381.72,0.0
0.0,18.51,8.81,0.0,222.12,44.05
358.78,294.26,522.59,63145.28,3531.12,0.0
378.32,149.98,322.6,66584.32,1799.76,0.0
0.0,19.39,10.49,0.0,232.68,52.45
98.39,19.03,10.86,33255.82,228.36,54.3
191.27,58.07,34.89,86071.5,696.84,174.45
57.69,20.51,12.63,5019.03,246.12,63.15
43.83,20.29,13.56,14902.2,243.48,67.8
19893.45,7480.83,9016.49,7957380.0,89769.96,0.0
0.0,20.56,9.15,0.0,246.72,45.75
100.82,24.42,13.09,17845.14,293.04,65.45
102.98,69.34,146.83,12460.58,832.08,734.15
708.06,385.53,710.29,85675.26,4626.36,0.0
269.33,132.11,284.22,32588.93,1585.32,0.0
266.69,29.24,19.84,47204.13,350.88,99.2
290.23,199.33,426.9,116092.0,2391.96,0.0
7369.75,4017.86,5359.26,1297076.0,48214.32,0.0
118.09,54.38,33.36,43693.3,652.56,166.8
249.37,32.42,19.68,92266.9,389.04,98.4
135.63,86.33,153.69,58320.9,1035.96,0.0
406.01,192.21,335.09,162404.0,2306.52,0.0
8174.79,3808.99,5157.91,989149.59,45707.88,0.0
62.32,32.19,16.4,28044.0,386.28,82.0
89.72,23.84,17.06,40374.0,286.08,85.3
60.38,23.66,15.73,20408.44,283.92,78.65
128.79,38.28,25.46,43531.02,459.36,127.3
164.48,43.17,26.08,41777.92,518.04,130.4
156.11,19.68,10.41,27631.47,236.16,52.05
196.18,193.66,407.2,56696.02,2323.92,0.0
84.4,18.69,13.45,28527.2,224.28,67.25
221.27,55.05,33.65,81869.9,660.6,168.25
302.12,131.73,257.52,125379.8,1580.76,0.0
45.51,19.35,12.83,16838.7,232.2,64.15
0.0,18.73,8.57,0.0,224.76,42.85
291.15,45.58,89.59,122283.0,546.96,447.95
2130.7,2161.72,3583.42,257814.7,25940.64,0.0
43.39,21.94,10.82,3774.93,263.28,54.1
6089.48,2600.36,3594.99,1071748.48,31204.32,0.0
447.5,361.86,607.94,192425.0,4342.32,0.0
7101.83,4226.63,5262.55,3053786.9,50719.56,0.0
0.0,20.24,10.08,0.0,242.88,50.4
47.63,20.61,11.33,4143.81,247.32,56.65
75.04,61.3,38.69,27764.8,735.6,193.45
102.64,18.28,9.02,37976.8,219.36,45.1
37.43,30.0,19.4,9507.22,360.0,97.0
47.21,19.52,9.18,4107.27,234.24,45.9
171.35,50.17,33.7,30328.95,602.04,168.5
118.75,29.26,15.67,43937.5,351.12,78.35
435.27,168.02,342.76,76607.52,2016.24,0.0
145.13,73.8,132.67,60228.95,885.6,663.35
38.96,18.55,11.43,3389.52,222.6,57.15
184.89,49.32,27.94,62492.82,591.84,139.7
32.26,33.67,17.09,5710.02,404.04,85.45
143.43,50.56,29.45,60240.6,606.72,147.25
113.85,73.65,169.32,20037.6,883.8,846.6
368.42,321.05,585.8,44578.82,3852.6,0.0
79.09,18.32,9.56,6880.83,219.84,47.8
117.38,31.54,19.3,48125.8,378.48,96.5
42.08,18.86,9.9,3660.96,226.32,49.5
152.28,31.17,18.43,71571.6,374.04,92.15
210.18,66.21,34.34,77766.6,794.52,171.7
352.43,147.21,266.27,146258.45,1766.52,0.0
278.18,219.77,421.55,119617.4,2637.24,0.0
42.21,19.56,9.66,3672.27,234.72,48.3
103.49,18.23,9.53,34979.62,218.76,47.65
193.2,186.68,440.54,34003.2,2240.16,0.0
556.05,347.14,684.99,67282.05,4165.68,0.0
139.27,29.41,16.84,24650.79,352.92,84.2
92.38,26.25,16.38,16351.26,315.0,81.9
623.62,298.14,670.31,268156.6,3577.68,0.0
293.72,45.64,25.27,108676.4,547.68,126.35
3479.4,3063.24,2855.48,421007.4,36758.88,0.0
254.95,45.42,24.16,94331.5,545.04,120.8
112.44,51.29,28.13,41602.8,615.48,140.65
102.87,19.14,13.4,18207.99,229.68,67.0
80.92,20.21,10.06,7040.04,242.52,50.3
38.92,18.0,10.03,3386.04,216.0,50.15
91.1,19.08,11.03,38262.0,228.96,55.15
74.52,26.34,15.92,33534.0,316.08,79.6
6641.31,3577.08,5058.32,2855763.3,42924.96,0.0
252.02,122.94,238.0,108368.6,1475.28,0.0
232.23,28.9,20.11,78493.74,346.8,100.55
2470.04,4847.38,5536.34,1025066.6,58168.56,0.0
67.01,18.53,11.07,24458.65,222.36,55.35
12517.11,9916.64,13087.24,3617444.79,118999.68,0.0
46.36,18.99,11.94,4033.32,227.88,59.7
12361.85,7275.89,7026.4,5315595.5,87310.68,0.0
68.12,19.35,12.81,23160.8,232.2,64.05
32.6,21.04,9.56,2836.2,252.48,47.8
99.33,45.22,25.26,36752.1,542.64,126.3
0.0,20.85,11.44,0.0,250.2,57.2
669.94,151.22,360.11,81062.74,1814.64,0.0
76.53,64.19,152.26,13469.28,770.28,761.3
83.03,18.0,11.2,28230.2,216.0,56.0
361.8,150.23,342.17,159192.0,1802.76,0.0
349.03,130.3,214.67,144847.45,1563.6,0.0
614.9,218.6,487.85,258258.0,2623.2,0.0
72.08,21.52,9.88,6270.96,258.24,49.4
38.39,19.16,13.55,13052.6,229.92,67.75
108.95,18.01,10.69,49027.5,216.12,53.45
575.59,247.65,484.32,166345.51,2971.8,0.0
71.47,25.11,17.02,26443.9,301.32,85.1
170.27,31.13,20.27,43248.58,373.56,101.35
7912.86,5526.21,8846.19,3402529.8,66314.52,0.0
598.24,262.75,573.4,105290.24,3153.0,0.0
0.0,18.91,11.14,0.0,226.92,55.7
406.47,129.78,242.69,117469.83,1557.36,0.0
111.12,23.44,14.25,19668.24,281.28,71.25
162.73,64.08,132.25,71601.2,768.96,661.25
3952.57,1822.29,1969.93,1699605.1,21867.48,0.0
137.86,41.88,21.06,64794.2,502.56,105.3
369.57,167.01,408.03,147828.0,2004.12,0.0
92.55,21.76,10.99,31467.0,261.12,54.95
71.36,21.45,10.95,6208.32,257.4,54.75
121.19,53.22,25.62,54535.5,638.64,128.1
244.98,110.97,239.53,43116.48,1331.64,0.0
83.32,39.82,23.05,37494.0,477.84,115.25
77.57,21.14,11.71,28313.05,253.68,58.55
133.54,20.62,9.28,49409.8,247.44,46.4
6302.04,3326.18,3456.48,1109159.04,39914.16,0.0
181.66,33.82,15.85,85380.2,405.84,79.25
8488.53,5692.4,5883.58,3904723.8,68308.8,0.0
131.99,70.12,167.59,38145.11,841.44,837.95
8376.7,8262.09,9430.54,3853282.0,99145.08,0.0
205.84,50.6,33.9,36433.68,607.2,169.5
4364.56,2075.8,2932.43,768162.56,24909.6,0.0
171.05,71.52,133.03,73551.5,858.24,665.15
47.66,19.56,10.13,16204.4,234.72,50.65
90.18,19.4,9.62,7845.66,232.8,48.1
118.41,53.51,26.36,43811.7,642.12,131.8
140.58,60.2,37.75,63261.0,722.4,188.75
351.11,124.03,254.92,150977.3,1488.36,0.0
90.82,41.52,24.36,16075.14,498.24,121.8
546.03,309.11,593.07,229332.6,3709.32,0.0
729.06,238.88,551.28,313495.8,2866.56,0.0
283.04,66.69,40.35,133028.8,800.28,201.75
69.37,18.32,11.32,6035.19,219.84,56.6
7382.78,5931.71,7895.87,3063853.7,71180.52,0.0
223.78,34.02,18.81,82798.6,408.24,94.05
192.89,27.5,18.78,34141.53,330.0,93.9
104.28,23.45,16.26,46926.0,281.4,81.3
801.24,288.58,474.38,344533.2,3462.96,0.0
5629.17,6961.24,10872.97,990733.92,83534.88,0.0
0.0,19.39,9.81,0.0,232.68,49.05
37.67,18.4,9.0,3277.29,220.8,45.0
96.86,22.5,11.52,43587.0,270.0,57.6
203.95,31.82,19.64,85659.0,381.84,98.2
88.72,55.31,35.12,32826.4,663.72,175.6
720.54,151.19,314.0,309832.2,1814.28,0.0
118.37,22.4,13.14,20951.49,268.8,65.7
262.03,38.76,26.55,123154.1,465.12,132.75
285.21,70.51,157.77,122640.3,846.12,788.85
537.12,185.61,418.25,222904.8,2227.32,0.0
52.74,20.05,12.73,4588.38,240.6,63.65
76.16,23.77,12.91,13480.32,285.24,64.55
57.46,20.43,9.34,20972.9,245.16,46.7
372.1,160.72,395.3,45024.1,1928.64,0.0
7872.24,3491.73,4763.42,952541.04,41900.76,0.0
270.17,48.34,29.49,47820.09,580.08,147.45
7156.44,2789.66,4248.61,1259533.44,33475.92,0.0
737.35,200.07,447.36,129773.6,2400.84,0.0
81.75,21.29,10.82,7112.25,255.48,54.1
7192.14,4074.39,6004.29,3092620.2,48892.68,0.0
138.3,37.52,24.61,65001.0,450.24,123.05
5436.48,1862.27,2232.89,2256139.2,22347.24,0.0
12814.39,7860.72,11079.08,5382043.8,94328.64,0.0
51.83,18.68,12.28,9173.91,224.16,61.4
187.1,30.04,18.83,78582.0,360.48,94.15
0.0,20.65,8.73,0.0,247.8,43.65
537.56,202.26,384.34,65044.76,2427.12,0.0
139.98,38.75,26.78,24776.46,465.0,133.9
145.35,32.27,18.22,25726.95,387.24,91.1
139.99,166.04,341.92,60195.7,1992.48,0.0
558.83,211.79,509.2,245885.2,2541.48,0.0
6547.42,5648.2,8052.6,2815390.6,67778.4,0.0
190.35,154.21,367.99,83754.0,1850.52,0.0
81.0,20.84,9.31,27540.0,250.08,46.55
3973.07,5221.23,5237.22,480741.47,62654.76,0.0
454.66,318.72,608.53,80020.16,3824.64,0.0
206.5,95.34,192.99,36344.0,1144.08,0.0
127.75,28.4,20.66,43179.5,340.8,103.3
147.32,40.31,22.78,49794.16,483.72,113.9
71.73,20.96,11.97,12696.21,251.52,59.85
112.83,18.93,13.4,41747.1,227.16,67.0
108.95,42.13,21.97,40311.5,505.56,109.85
100.52,32.01,19.66,17792.04,384.12,98.3
3009.63,1757.35,1950.16,1203852.0,21088.2,0.0
123.32,67.84,39.16,51794.4,814.08,195.8
61.58,18.17,10.55,22476.7,218.04,52.75
51.45,20.92,10.84,9106.65,251.04,54.2
81.0,20.21,13.12,7047.0,242.52,65.6
89.21,64.31,34.13,37468.2,771.72,170.65
465.87,317.33,586.67,81993.12,3807.96,0.0
113.9,28.41,13.24,42143.0,340.92,66.2
116.39,69.58,135.94,51211.6,834.96,679.7
249.04,61.91,32.65,63256.16,742.92,163.25
88.53,26.99,16.94,39838.5,323.88,84.7
83.75,62.07,32.35,14823.75,744.84,161.75
0.0,19.83,9.69,0.0,237.96,48.45
66.03,19.68,12.63,27072.3,236.16,63.15
240.6,37.19,24.47,42586.2,446.28,122.35
10922.84,7078.48,7913.57,4696821.2,84941.76,0.0
128.09,21.13,11.93,47393.3,253.56,59.65
83.61,24.31,13.6,14798.97,291.72,68.0
215.01,56.46,109.14,92454.3,677.52,545.7
259.67,55.54,28.05,96077.9,666.48,140.25
384.09,241.67,578.42,159397.35,2900.04,0.0
93.5,18.18,9.06,23749.0,218.16,45.3
283.86,32.78,16.2,127737.0,393.36,81.0
0.0,20.57,9.73,0.0,246.84,48.65
171.25,28.24,19.61,71925.0,338.88,98.05
164.75,23.01,12.83,29160.75,276.12,64.15
335.74,188.0,376.45,141010.8,2256.0,0.0
282.47,39.09,22.96,127111.5,469.08,114.8
146.82,67.4,33.35,25987.14,808.8,166.75
55.46,25.67,15.45,18745.48,308.04,77.25
133.26,47.03,90.22,53304.0,564.36,451.1
706.63,239.68,505.76,85502.23,2876.16,0.0
202.39,136.1,276.4,80956.0,1633.2,0.0
95.88,31.91,18.88,39310.8,382.92,94.4
47.1,18.88,8.91,16014.0,226.56,44.55
362.61,316.99,649.47,63819.36,3803.88,0.0
201.48,38.1,21.89,35661.96,457.2,109.45
167.83,31.93,18.76,75523.5,383.16,93.8
139.35,53.35,27.96,51559.5,640.2,139.8
64.47,27.61,17.71,29011.5,331.32,88.55
461.3,188.41,339.17,191439.5,2260.92,0.0
122.71,27.92,16.48,21719.67,335.04,82.4
32.8,18.28,9.55,2853.6,219.36,47.75
53.36,28.41,14.41,9444.72,340.92,72.05
95.97,30.3,19.54,35508.9,363.6,97.7
75.03,21.38,9.28,25510.2,256.56,46.4
484.65,237.84,507.89,201129.75,2854.08,0.0
55.72,27.94,16.33,9862.44,335.28,81.65
272.01,41.17,20.67,127844.7,494.04,103.35
87.67,59.84,33.14,15517.59,718.08,165.7
4154.8,6894.23,10071.16,502730.8,82730.76,0.0
69.67,18.49,10.4,6061.29,221.88,52.0
431.71,223.96,526.86,172684.0,2687.52,0.0
89.18,19.78,10.28,32550.7,237.36,51.4
737.95,329.14,547.78,129879.2,3949.68,0.0
0.0,18.43,11.44,0.0,221.16,57.2
115.59,22.51,13.15,20459.43,270.12,65.75
102.03,51.23,33.9,25915.62,614.76,169.5
88.62,21.61,10.29,32789.4,259.32,51.45
437.23,217.77,399.14,188008.9,2613.24,0.0
214.64,146.95,308.94,92295.2,1763.4,0.0
516.63,280.47,597.73,222150.9,3365.64,0.0
508.18,244.39,571.29,89439.68,2932.68,0.0
209.54,40.69,24.97,37088.58,488.28,124.85
258.65,40.83,23.82,116392.5,489.96,119.1
0.0,18.09,9.57,0.0,217.08,47.85
193.93,66.02,36.17,49258.22,792.24,180.85
79.39,21.11,13.25,6906.93,253.32,66.25
272.54,271.02,514.82,47967.04,3252.24,0.0
291.12,239.19,520.52,120814.8,2870.28,0.0
64.1,19.96,10.09,21794.0,239.52,50.45
8240.43,5799.57,7842.48,3543384.9,69594.84,0.0
258.38,271.62,560.64,111103.4,3259.44,0.0
275.48,42.41,21.26,101927.6,508.92,106.3
92.05,31.77,17.19,16292.85,381.24,85.95
7515.59,3662.29,4535.4,909386.39,43947.48,0.0
443.15,183.59,317.06,190554.5,2203.08,0.0
42.46,20.98,10.91,3694.02,251.76,54.55
47.25,19.19,12.45,4110.75,230.28,62.25
177.52,28.93,16.4,83434.4,347.16,82.0
59.67,20.48,8.86,5191.29,245.76,44.3
90.36,21.72,10.94,32981.4,260.64,54.7
343.73,374.35,781.59,144366.6,4492.2,0.0
242.47,87.92,188.84,104262.1,1055.04,0.0
482.31,110.75,261.41,192924.0,1329.0,0.0
334.26,175.98,387.75,140389.2,2111.76,0.0
7158.81,4636.31,5617.96,3006700.2,55635.72,0.0
158.31,43.01,20.45,40210.74,516.12,102.25
296.42,91.9,179.73,52169.92,1102.8,0.0
108.37,27.46,16.77,48766.5,329.52,83.85
110.25,19.74,13.8,49612.5,236.88,69.0
30.19,20.85,9.68,2626.53,250.2,48.4
164.44,27.01,16.05,67420.4,324.12,80.25
58.46,20.18,10.58,5086.02,242.16,52.9
11273.58,4853.19,4829.79,5185846.8,58238.28,0.0
129.43,18.56,10.21,60832.1,222.72,51.05
220.97,48.9,33.56,99436.5,586.8,167.8
206.28,120.88,306.33,94888.8,1450.56,0.0
203.06,92.57,209.5,87315.8,1110.84,0.0
61.99,30.06,16.49,10972.23,360.72,82.45
48.01,22.83,13.64,8497.77,273.96,68.2
213.9,59.08,31.26,96255.0,708.96,156.3
0.0,21.26,11.45,0.0,255.12,57.25
84.34,19.04,10.05,37953.0,228.48,50.25
245.36,204.39,426.8,101824.4,2452.68,0.0
55.56,20.0,10.79,4833.72,240.0,53.95
97.4,48.41,26.44,17239.8,580.92,132.2
46.97,21.08,10.99,22075.9,252.96,54.95
4672.58,3437.22,3879.62,1939120.7,41246.64,0.0
160.19,23.5,15.68,67279.8,282.0,78.4
190.29,42.52,27.22,33681.33,510.24,136.1
318.42,42.52,94.2,136920.6,510.24,471.0
13549.09,9471.82,8306.59,5826108.7,113661.84,0.0
69.06,28.59,19.39,31077.0,343.08,96.95
488.37,339.56,861.32,209999.1,4074.72,0.0
12754.29,8362.58,8255.7,5293030.35,100350.96,0.0
200.11,134.48,293.88,83045.65,1613.76,0.0
5652.17,3332.41,3889.26,2430433.1,39988.92,0.0
169.39,86.28,166.98,29812.64,1035.36,0.0
30.69,18.28,13.15,2670.03,219.36,65.75
3424.11,1472.77,2198.17,1472367.3,17673.24,0.0
317.93,161.07,316.8,55955.68,1932.84,0.0
23.77,21.05,13.57,2067.99,252.6,67.85
32.85,19.03,10.66,2857.95,228.36,53.3
128.1,53.93,97.74,55083.0,647.16,488.7
9086.48,5314.83,5465.09,3907186.4,63777.96,0.0
310.13,28.94,15.68,54893.01,347.28,78.4
103.25,32.48,15.68,34898.5,389.76,78.4
135.36,53.24,29.26,56851.2,638.88,146.3
316.08,39.44,25.57,55946.16,473.28,127.85
144.31,58.8,39.38,25542.87,705.6,196.9
324.28,135.68,337.06,139440.4,1628.16,0.0
0.0,20.34,9.98,0.0,244.08,49.9
8645.73,4594.78,5304.83,3804121.2,55137.36,0.0
425.82,138.83,238.37,183102.6,1665.96,0.0
350.6,212.35,412.29,101323.4,2548.2,0.0
105.83,19.51,11.17,39157.1,234.12,55.85
83.72,18.46,11.03,14818.44,221.52,55.15
212.26,69.04,32.2,95517.0,828.48,161.0
0.0,20.01,9.27,0.0,240.12,46.35
51.51,27.59,14.93,21634.2,331.08,74.65
28.88,18.13,10.63,9819.2,217.56,53.15
0.0,19.67,11.06,0.0,236.04,55.3
0.0,19.42,10.87,0.0,233.04,54.35
7342.85,5793.07,5839.06,3377711.0,69516.84,0.0
74.66,18.22,12.2,6495.42,218.64,61.0
430.77,121.2,265.74,124492.53,1454.4,0.0
9385.02,4690.5,4583.18,1135587.42,56286.0,0.0
6425.07,2539.62,3600.47,2570028.0,30475.44,0.0
126.59,52.12,97.75,52534.85,625.44,488.75
300.76,65.42,31.84,101656.88,785.04,159.2
199.64,139.66,264.76,35136.64,1675.92,0.0
174.48,37.69,20.63,78516.0,452.28,103.15
96.87,49.34,30.6,35841.9,592.08,153.0
9030.08,4390.24,4132.64,3612032.0,52682.88,0.0
12312.83,6298.28,6649.14,1489852.43,75579.36,0.0
129.17,47.06,29.11,47792.9,564.72,145.55
18.38,18.42,10.38,6249.2,221.04,51.9
0.0,21.89,8.98,0.0,262.68,44.9
48.59,26.5,13.14,12341.86,318.0,65.7
56.79,19.89,12.07,4940.73,238.68,60.35
0.0,21.71,8.7,0.0,260.52,43.5
81.96,20.85,10.95,7130.52,250.2,54.75
19397.19,9992.54,11562.02,2347059.99,119910.48,0.0
131.59,28.17,14.93,55267.8,338.04,74.65
293.49,157.93,326.88,121798.35,1895.16,0.0
102.75,134.42,302.43,44182.5,1613.04,0.0
526.51,185.09,413.41,242194.6,2221.08,0.0
235.34,52.51,32.97,41655.18,630.12,164.85
221.52,63.55,30.9,104114.4,762.6,154.5
41.35,20.77,11.47,3597.45,249.24,57.35
188.97,61.92,30.85,33447.69,743.04,154.25
215.79,60.09,40.18,97105.5,721.08,200.9
5964.19,4003.41,3844.77,2475138.85,48040.92,0.0
3640.42,3568.3,3807.88,1601784.8,42819.6,0.0
757.38,234.74,430.64,91642.98,2816.88,0.0
71.12,20.52,11.5,6187.44,246.24,57.5
0.0,19.64,9.15,0.0,235.68,45.75
50.16,26.66,16.87,22572.0,319.92,84.35
411.32,175.95,404.04,49769.72,2111.4,0.0
4168.28,4279.05,4737.3,1792360.4,51348.6,0.0
0.0,20.97,10.75,0.0,251.64,53.75
191.37,32.02,17.48,70806.9,384.24,87.4
516.32,354.88,585.9,222017.6,4258.56,0.0
28.38,18.76,10.87,2469.06,225.12,54.35
425.02,130.64,267.95,178508.4,1567.68,0.0
7300.95,6468.31,7637.5,2109974.55,77619.72,0.0
282.5,66.0,40.84,104525.0,792.0,204.2
128.21,76.39,136.03,22564.96,916.68,680.15
43.29,20.92,12.21,14718.6,251.04,61.05
67.05,33.33,16.63,22662.9,399.96,83.15
58.63,18.06,9.62,5100.81,216.72,48.1
107.07,66.65,33.78,39615.9,799.8,168.9
158.74,24.26,15.94,28096.98,291.12,79.7
4877.96,3275.45,4886.89,2243861.6,39305.4,0.0
11742.12,5988.76,8605.32,4872979.8,71865.12,0.0
118.45,26.55,14.12,48564.5,318.6,70.6
75.06,60.73,134.61,32275.8,728.76,673.05
70.99,41.1,21.4,29815.8,493.2,107.0
324.12,48.92,29.09,152336.4,587.04,145.45
120.74,31.89,19.56,44673.8,382.68,97.8
51.6,29.38,20.34,21672.0,352.56,101.7
189.6,56.51,28.99,33559.2,678.12,144.95
63.02,20.98,10.04,23002.3,251.76,50.2
538.11,349.99,774.65,231387.3,4199.88,0.0
144.76,68.82,36.03,59351.6,825.84,180.15
125.62,38.42,24.26,22234.74,461.04,121.3
10707.85,3934.95,4737.14,1295649.85,47219.4,0.0
466.18,211.92,514.51,82047.68,2543.04,0.0
92.37,18.84,12.24,8036.19,226.08,61.2
48.53,28.42,18.37,20382.6,341.04,91.85
167.66,21.01,9.92,29675.82,252.12,49.6
8323.55,4752.77,4994.66,1007149.55,57033.24,0.0
64.5,20.99,10.98,21930.0,251.88,54.9
6685.91,7283.56,6819.77,2874941.3,87402.72,0.0
278.49,40.31,25.37,70736.46,483.72,126.85
520.86,350.3,619.95,239595.6,4203.6,0.0
79.56,19.04,10.41,29039.4,228.48,52.05
107.54,38.73,25.36,27315.16,464.76,126.8
163.51,56.61,33.7,41531.54,679.32,168.5
5231.36,5086.59,5933.58,2171014.4,61039.08,0.0
194.33,67.71,35.81,71902.1,812.52,179.05
137.02,19.16,11.33,57548.4,229.92,56.65
14070.27,9392.83,8830.97,1702502.67,112713.96,0.0
13493.64,7515.38,7562.18,1632730.44,90184.56,0.0
200.15,20.88,10.76,82061.5,250.56,53.8
86.55,28.99,19.28,36351.0,347.88,96.4
269.75,32.05,17.22,113295.0,384.6,86.1
171.45,40.89,21.67,30346.65,490.68,108.35
55.19,32.91,20.42,9768.63,394.92,102.1
123.86,39.35,22.32,41864.68,472.2,111.6
46.1,21.87,11.12,4010.7,262.44,55.6
188.09,66.61,37.75,88402.3,799.32,188.75
0.0,20.14,9.01,0.0,241.68,45.05
