trip_id,trip_year,trip_month,trip_date,season,boat_type,boat_name,engine_hp,fuel_type,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_knots,avg_speed_kmh,trip_days,trip_duration_category,port_name,region,departure_lat,departure_lon,fishing_lat,fishing_lon,distance_km,wind_kph,wave_height_m,weather_factor,total_hours,fuel_per_hour,fuel_per_km,fuel_liters,ice_kg,water_liters,fuel_price_per_liter,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr,total_base_cost_lkr,fuel_cost_share,ice_cost_share,water_cost_share,ice_per_crew_day,water_per_crew_day,is_multi_day,has_engine,is_deep_sea
3525,2022,1,2022-01-06,Northeast_Monsoon,MDBT,Motorized Day Boat,138,diesel,7,2000,1000,13.0,24.076,3,Multi_Day,Negombo,Western,7.209,79.835,6.4561,80.3163,99.16,23.5,2.3,1.29,35.2,18.59,6.6,654.42,150.3,331.23,121.0,79184.82,1803.6,0.0,80988.42,0.978,0.022,0.0,7.16,15.77,1,1,0
7879,2023,1,2023-01-20,Northeast_Monsoon,MDBT,Motorized Day Boat,108,diesel,9,2000,1000,13.0,24.076,2,Multi_Day,Beruwala,Western,6.0535,80.2209,6.4771,80.9269,91.15,5.1,0.91,0.98,27.3,10.61,3.18,289.53,142.13,310.17,405.0,117259.65,1705.56,0.0,118965.21,0.986,0.014,0.0,7.9,17.23,1,1,0
16441,2025,5,2025-05-24,Southwest_Monsoon,MDBT,Motorized Day Boat,103,diesel,10,2000,1000,13.0,24.076,4,Multi_Day,Colombo,Western,6.9271,79.8612,6.9915,80.5364,74.87,10.4,1.59,1.1,42.4,11.55,6.54,489.86,310.08,623.95,274.0,134221.64,3720.96,0.0,137942.6,0.973,0.027,0.0,7.75,15.6,1,1,0
16296,2025,7,2025-07-09,Southwest_Monsoon,NMTR,Non-motorized Traditional,0,none,2,50,30,3.0,5.556,1,Single_Day,Kalpitiya,North Western,8.556,79.8,8.5506,79.8168,1.94,11.1,1.36,1.12,10.4,0.0,0.0,0.0,19.55,9.44,0.0,0.0,234.6,47.2,281.8,0.0,0.833,0.167,9.78,4.72,0,0,0
12566,2024,3,2024-03-03,Northeast_Monsoon,MDBT,Motorized Day Boat,142,diesel,7,2000,1000,13.0,24.076,2,Multi_Day,Negombo,Western,7.209,79.835,6.8674,79.8574,38.07,16.6,0.81,1.09,17.9,14.59,6.86,261.24,100.51,237.21,363.0,94830.12,1206.12,0.0,96036.24,0.987,0.013,0.0,7.18,16.94,1,1,0
5252,2023,8,2023-08-03,Southwest_Monsoon,MDBT,Motorized Day Boat,88,diesel,8,2000,1000,13.0,24.076,1,Single_Day,Kalpitiya,North Western,8.556,79.8,9.7399,80.2015,138.83,19.4,1.78,1.07,21.0,8.39,1.27,176.09,66.03,113.07,306.0,53883.54,792.36,565.35,55241.25,0.975,0.014,0.01,8.25,14.13,0,1,1
19393,2025,3,2025-03-23,Northeast_Monsoon,OBFR,Outboard Fiberglass,85,petrol,6,500,200,20.0,37.04,1,Single_Day,Beruwala,Western,6.0535,80.2209,6.1726,80.4874,32.3,13.9,1.06,1.04,11.5,13.47,4.8,154.9,29.57,16.71,309.0,47864.1,354.84,83.55,48302.49,0.991,0.007,0.002,4.93,2.79,0,1,0
16796,2025,2,2025-02-22,Northeast_Monsoon,IMUL,Industrial Multi-day,305,diesel,15,10000,30000,10.0,18.52,19,Multi_Day,Kalpitiya,North Western,8.556,79.8,9.8,81.9,723.69,5.4,0.6,0.94,196.2,23.91,6.48,4690.97,4328.67,4839.36,286.0,1341617.42,51944.04,0.0,1393561.46,0.963,0.037,0.0,15.19,16.98,1,1,1
8094,2023,12,2023-12-02,Northeast_Monsoon,MDBT,Motorized Day Boat,138,diesel,7,2000,1000,13.0,24.076,2,Multi_Day,Trincomalee,Eastern,8.55,81.233,7.6611,81.2752,98.95,27.3,1.68,1.2,25.2,18.15,4.62,457.27,96.87,229.92,329.0,150441.83,1162.44,0.0,151604.27,0.992,0.008,0.0,6.92,16.42,1,1,0
322,2022,12,2022-12-27,Northeast_Monsoon,OBFR,Outboard Fiberglass,79,petrol,5,500,200,20.0,37.04,2,Multi_Day,Negombo,Western,7.209,79.835,7.5944,80.4898,83.97,5.4,1.35,0.9,23.1,11.24,3.09,259.67,55.54,28.05,370.0,96077.9,666.48,140.25,96884.63,0.992,0.007,0.001,5.55,2.81,1,1,0
9923,2023,7,2023-07-07,Southwest_Monsoon,IMUL,Industrial Multi-day,372,diesel,20,10000,30000,10.0,18.52,35,Multi_Day,Negombo,Western,7.209,79.835,9.8,79.7266,547.44,8.0,0.78,0.92,395.6,27.04,19.54,10698.7,8691.02,9599.97,308.0,3295199.6,104292.24,0.0,3399491.84,0.969,0.031,0.0,12.42,13.71,1,1,1
7459,2023,9,2023-09-23,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,17,kerosene,4,300,100,8.0,14.816,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.4344,80.1445,29.22,6.2,0.55,0.96,12.6,3.72,1.61,46.9,19.1,11.26,231.0,10833.9,229.2,56.3,11119.4,0.974,0.021,0.005,4.78,2.81,0,1,0
19024,2025,1,2025-01-16,Northeast_Monsoon,OBFR,Outboard Fiberglass,30,petrol,5,500,200,20.0,37.04,1,Single_Day,Beruwala,Western,6.0535,80.2209,6.7369,79.9563,81.42,27.8,2.07,1.18,10.6,5.02,0.65,53.17,27.84,17.17,309.0,16429.53,334.08,85.85,16849.46,0.975,0.02,0.005,5.57,3.43,0,1,0
17553,2025,8,2025-08-04,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,25,kerosene,4,300,100,8.0,14.816,1,Single_Day,Hambantota,Southern,5.9549,80.5549,6.0096,80.3921,19.0,5.4,1.07,0.98,9.9,5.72,2.98,56.62,20.72,13.43,185.0,10474.7,248.64,67.15,10790.49,0.971,0.023,0.006,5.18,3.36,0,1,0
9119,2023,10,2023-10-07,Southwest_Monsoon,OBFR,Outboard Fiberglass,78,petrol,5,500,200,20.0,37.04,1,Single_Day,Galle,Southern,6.1241,81.1185,6.0809,81.3466,25.68,10.4,1.97,1.01,8.5,11.92,3.95,101.36,25.31,16.05,365.0,36996.4,303.72,80.25,37380.37,0.99,0.008,0.002,5.06,3.21,0,1,0
16421,2025,8,2025-08-22,Southwest_Monsoon,OBFR,Outboard Fiberglass,29,petrol,6,500,200,20.0,37.04,2,Multi_Day,Beruwala,Western,6.0535,80.2209,5.9,80.1179,26.33,27.5,2.23,1.21,15.2,5.56,3.21,84.44,60.32,34.23,305.0,25754.2,723.84,171.15,26649.19,0.966,0.027,0.006,5.03,2.85,1,1,0
16060,2025,7,2025-07-21,Southwest_Monsoon,MDBT,Motorized Day Boat,149,diesel,8,2000,1000,13.0,24.076,2,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,79.5783,86.42,17.2,1.67,1.15,26.6,18.01,5.54,479.03,127.66,204.45,289.0,138439.67,1531.92,0.0,139971.59,0.989,0.011,0.0,7.98,12.78,1,1,0
10120,2024,8,2024-08-12,Southwest_Monsoon,MDBT,Motorized Day Boat,148,diesel,10,2000,1000,13.0,24.076,4,Multi_Day,Trincomalee,Eastern,8.55,81.233,7.3725,81.6115,137.41,16.6,2.14,1.05,46.1,14.78,4.96,681.29,299.92,646.66,317.0,215968.93,3599.04,0.0,219567.97,0.984,0.016,0.0,7.5,16.17,1,1,1
19055,2025,8,2025-08-12,Southwest_Monsoon,OBFR,Outboard Fiberglass,65,petrol,5,500,200,20.0,37.04,1,Single_Day,Beruwala,Western,6.0535,80.2209,6.2894,79.818,51.69,7.1,1.64,0.9,12.4,8.39,2.01,104.06,25.6,14.98,305.0,31738.3,307.2,74.9,32120.4,0.988,0.01,0.002,5.12,3.0,0,1,0
3649,2022,3,2022-03-24,Northeast_Monsoon,IMUL,Industrial Multi-day,402,diesel,17,10000,30000,10.0,18.52,10,Multi_Day,Colombo,Western,6.9271,79.8612,9.8,79.5,359.7,22.5,1.71,1.17,126.6,36.88,12.98,4669.03,2089.56,2366.22,176.0,821749.28,25074.72,0.0,846824.0,0.97,0.03,0.0,12.29,13.92,1,1,1
3941,2022,1,2022-01-13,Northeast_Monsoon,OBFR,Outboard Fiberglass,67,petrol,5,500,200,20.0,37.04,1,Single_Day,Galle,Southern,6.1241,81.1185,6.692,81.1836,63.56,16.7,0.88,1.15,13.1,11.55,2.38,151.26,23.54,13.51,177.0,26773.02,282.48,67.55,27123.05,0.987,0.01,0.002,4.71,2.7,0,1,0
17880,2025,1,2025-01-11,Northeast_Monsoon,IMUL,Industrial Multi-day,312,diesel,13,10000,30000,10.0,18.52,33,Multi_Day,Hambantota,Southern,5.9549,80.5549,8.7815,81.9,604.58,8.3,1.03,0.96,364.4,22.83,13.76,8317.72,6419.94,6470.87,286.0,2378867.92,77039.28,0.0,2455907.2,0.969,0.031,0.0,14.96,15.08,1,1,1
16675,2025,4,2025-04-24,Northeast_Monsoon,IMUL,Industrial Multi-day,462,diesel,20,10000,30000,10.0,18.52,20,Multi_Day,Beruwala,Western,6.0535,80.2209,5.9937,79.5,148.52,9.6,1.27,0.95,209.1,35.22,49.59,7365.53,4122.32,6022.97,286.0,2106541.58,49467.84,0.0,2156009.42,0.977,0.023,0.0,10.31,15.06,1,1,1
12630,2024,12,2024-12-08,Northeast_Monsoon,OBFR,Outboard Fiberglass,70,petrol,6,500,200,20.0,37.04,2,Multi_Day,Galle,Southern,6.1241,81.1185,6.2512,81.2801,22.78,21.0,0.65,1.16,14.4,12.24,7.74,176.24,61.67,37.84,309.0,54458.16,740.04,189.2,55387.4,0.983,0.013,0.003,5.14,3.15,1,1,0
11443,2024,9,2024-09-13,Southwest_Monsoon,OBFR,Outboard Fiberglass,74,petrol,6,500,200,20.0,37.04,2,Multi_Day,Colombo,Western,6.9271,79.8612,6.9471,80.3783,57.12,14.0,1.86,1.02,21.2,11.27,4.18,238.85,64.09,41.27,332.0,79298.2,769.08,206.35,80273.63,0.988,0.01,0.003,5.34,3.44,1,1,0
12157,2024,7,2024-07-10,Southwest_Monsoon,OBFR,Outboard Fiberglass,38,petrol,6,500,200,20.0,37.04,2,Multi_Day,Kalpitiya,North Western,8.556,79.8,8.5116,79.5015,33.19,14.1,0.65,1.14,15.0,7.02,3.17,105.28,63.27,32.08,344.0,36216.32,759.24,160.4,37135.96,0.975,0.02,0.004,5.27,2.67,1,1,0
13835,2024,1,2024-01-13,Northeast_Monsoon,IMUL,Industrial Multi-day,370,diesel,12,10000,30000,10.0,18.52,42,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,79.5,397.88,14.1,1.25,1.11,381.3,30.67,29.39,11693.74,6121.51,7284.57,358.0,4186358.92,73458.12,0.0,4259817.04,0.983,0.017,0.0,12.15,14.45,1,1,1
3434,2022,12,2022-12-12,Northeast_Monsoon,OBFR,Outboard Fiberglass,45,petrol,4,500,200,20.0,37.04,1,Single_Day,Colombo,Western,6.9271,79.8612,6.8092,80.0754,27.04,9.5,1.92,0.94,10.4,6.03,2.32,62.71,20.96,10.3,370.0,23202.7,251.52,51.5,23505.72,0.987,0.011,0.002,5.24,2.58,0,1,0
18739,2025,2,2025-02-03,Northeast_Monsoon,OBFR,Outboard Fiberglass,30,petrol,6,500,200,20.0,37.04,1,Single_Day,Negombo,Western,7.209,79.835,7.7551,79.5,73.03,27.3,1.15,1.18,13.8,5.11,0.97,70.57,28.92,15.91,309.0,21806.13,347.04,79.55,22232.72,0.981,0.016,0.004,4.82,2.65,0,1,0
17407,2025,12,2025-12-09,Northeast_Monsoon,OBFR,Outboard Fiberglass,62,petrol,3,500,200,20.0,37.04,1,Single_Day,Hambantota,Southern,5.9549,80.5549,5.907,80.5809,6.05,7.7,1.44,0.93,7.0,8.05,9.32,56.36,20.83,10.94,294.0,16569.84,249.96,54.7,16874.5,0.982,0.015,0.003,6.94,3.65,0,1,0
15440,2025,10,2025-10-17,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,13,kerosene,3,300,100,8.0,14.816,1,Single_Day,Trincomalee,Eastern,8.55,81.233,8.5355,81.2589,3.28,17.3,2.38,1.0,6.7,2.84,5.82,19.05,21.83,10.09,180.0,3429.0,261.96,50.45,3741.41,0.916,0.07,0.013,7.28,3.36,0,1,0
10406,2024,2,2024-02-28,Northeast_Monsoon,TKBO,Traditional Kerosene Boat,10,kerosene,4,300,100,8.0,14.816,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.7456,80.3775,41.31,10.2,0.49,1.14,11.7,2.65,0.75,31.03,21.75,12.01,262.0,8129.86,261.0,60.05,8450.91,0.962,0.031,0.007,5.44,3.0,0,1,0
6517,2023,12,2023-12-12,Northeast_Monsoon,MDBT,Motorized Day Boat,116,diesel,9,2000,1000,13.0,24.076,5,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,79.8461,48.79,11.3,1.99,1.13,45.7,14.13,13.23,645.64,306.16,704.37,329.0,212415.56,3673.92,0.0,216089.48,0.983,0.017,0.0,6.8,15.65,1,1,0
971,2022,10,2022-10-25,Southwest_Monsoon,OBFR,Outboard Fiberglass,80,petrol,6,500,200,20.0,37.04,1,Single_Day,Kalpitiya,North Western,8.556,79.8,8.3441,79.7389,24.5,27.7,0.43,1.24,9.6,15.19,5.95,145.85,32.47,19.22,370.0,53964.5,389.64,96.1,54450.24,0.991,0.007,0.002,5.41,3.2,0,1,0
16487,2025,2,2025-02-18,Northeast_Monsoon,OBFR,Outboard Fiberglass,29,petrol,4,500,200,20.0,37.04,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,79.9416,69.82,10.4,1.02,1.01,10.1,4.17,0.6,42.11,19.92,13.06,309.0,13011.99,239.04,65.3,13316.33,0.977,0.018,0.005,4.98,3.27,0,1,0
19730,2025,2,2025-02-23,Northeast_Monsoon,OBFR,Outboard Fiberglass,54,petrol,6,500,200,20.0,37.04,2,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,79.7638,40.52,16.4,1.27,1.1,19.0,9.3,4.36,176.61,56.71,38.48,309.0,54572.49,680.52,192.4,55445.41,0.984,0.012,0.003,4.73,3.21,1,1,0
13137,2024,2,2024-02-20,Northeast_Monsoon,OBFR,Outboard Fiberglass,65,petrol,4,500,200,20.0,37.04,2,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.8,80.0349,38.07,6.5,1.27,0.98,20.1,9.94,5.25,199.76,39.9,23.56,371.0,74110.96,478.8,117.8,74707.56,0.992,0.006,0.002,4.99,2.94,1,1,0
3669,2022,8,2022-08-18,Southwest_Monsoon,IMUL,Industrial Multi-day,418,diesel,19,10000,30000,10.0,18.52,34,Multi_Day,Hambantota,Southern,5.9549,80.5549,5.9,79.5,369.26,29.9,0.46,1.22,363.3,41.35,40.68,15021.72,8066.19,10067.06,430.0,6459339.6,96794.28,0.0,6556133.88,0.985,0.015,0.0,12.49,15.58,1,1,1
15983,2025,5,2025-05-24,Southwest_Monsoon,OBFR,Outboard Fiberglass,82,petrol,4,500,200,20.0,37.04,2,Multi_Day,Trincomalee,Eastern,8.55,81.233,8.8952,81.9,94.37,8.4,2.29,0.92,20.7,11.21,2.46,232.06,40.66,27.03,293.0,67993.58,487.92,135.15,68616.65,0.991,0.007,0.002,5.08,3.38,1,1,0
4058,2022,8,2022-08-16,Southwest_Monsoon,OBFR,Outboard Fiberglass,40,petrol,6,500,200,20.0,37.04,2,Multi_Day,Galle,Southern,6.1241,81.1185,6.1394,81.3614,26.91,29.1,1.78,1.21,20.8,6.96,5.38,144.68,66.64,31.07,450.0,65106.0,799.68,155.35,66061.03,0.986,0.012,0.002,5.55,2.59,1,1,0
14976,2024,6,2024-06-05,Southwest_Monsoon,MDBT,Motorized Day Boat,95,diesel,8,2000,1000,13.0,24.076,3,Multi_Day,Trincomalee,Eastern,8.55,81.233,8.5347,80.3704,94.87,13.6,0.93,1.13,30.1,10.41,3.3,313.4,190.45,382.63,317.0,99347.8,2285.4,0.0,101633.2,0.978,0.022,0.0,7.94,15.94,1,1,0
15698,2025,8,2025-08-20,Southwest_Monsoon,MDBT,Motorized Day Boat,114,diesel,8,2000,1000,13.0,24.076,3,Multi_Day,Negombo,Western,7.209,79.835,6.4728,79.5,104.09,10.8,0.92,1.12,32.0,12.17,3.74,389.45,192.08,413.05,289.0,112551.05,2304.96,0.0,114856.01,0.98,0.02,0.0,8.0,17.21,1,1,1
13829,2024,4,2024-04-07,Northeast_Monsoon,MDBT,Motorized Day Boat,146,diesel,8,2000,1000,13.0,24.076,2,Multi_Day,Hambantota,Southern,5.9549,80.5549,5.9,79.975,84.18,25.7,0.31,1.28,20.6,18.88,4.62,388.91,119.45,234.45,363.0,141174.33,1433.4,0.0,142607.73,0.99,0.01,0.0,7.47,14.65,1,1,0
13419,2024,10,2024-10-12,Southwest_Monsoon,MDBT,Motorized Day Boat,104,diesel,10,2000,1000,13.0,24.076,3,Multi_Day,Colombo,Western,6.9271,79.8612,6.4254,79.9579,56.8,21.8,2.41,1.17,34.5,13.26,8.05,457.44,213.43,475.02,283.0,129455.52,2561.16,0.0,132016.68,0.981,0.019,0.0,7.11,15.83,1,1,0
960,2022,10,2022-10-26,Southwest_Monsoon,NMTR,Non-motorized Traditional,0,none,2,50,30,3.0,5.556,1,Single_Day,Kalpitiya,North Western,8.556,79.8,8.6034,79.7931,5.32,23.7,1.53,1.24,8.9,0.0,0.0,0.0,19.73,9.27,0.0,0.0,236.76,46.35,283.11,0.0,0.836,0.164,9.87,4.63,0,0,0
17744,2025,5,2025-05-05,Southwest_Monsoon,OBFR,Outboard Fiberglass,26,petrol,5,500,200,20.0,37.04,2,Multi_Day,Kankesanthurai,Northern,9.6615,80.0104,9.3002,79.8557,43.61,19.3,1.63,1.01,15.8,3.84,1.39,60.66,52.16,28.19,293.0,17773.38,625.92,140.95,18540.25,0.959,0.034,0.008,5.22,2.82,1,1,0
9864,2023,5,2023-05-01,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,28,kerosene,3,300,100,8.0,14.816,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.6338,79.7703,26.5,18.6,0.66,1.13,13.0,6.95,3.41,90.32,20.21,9.28,295.0,26644.4,242.52,46.4,26933.32,0.989,0.009,0.002,6.74,3.09,0,1,0
11263,2024,11,2024-11-08,Northeast_Monsoon,TKBO,Traditional Kerosene Boat,30,kerosene,4,300,100,8.0,14.816,1,Single_Day,Colombo,Western,6.9271,79.8612,7.2855,79.6833,44.42,28.5,1.98,1.27,13.5,9.0,2.74,121.56,18.36,10.67,183.0,22245.48,220.32,53.35,22519.15,0.988,0.01,0.002,4.59,2.67,0,1,0
15782,2025,12,2025-12-24,Northeast_Monsoon,OBFR,Outboard Fiberglass,40,petrol,6,500,200,20.0,37.04,2,Multi_Day,Galle,Southern,6.1241,81.1185,6.3662,80.887,37.14,8.1,1.04,0.93,18.5,5.19,2.59,96.02,59.87,40.04,294.0,28229.88,718.44,200.2,29148.52,0.968,0.025,0.007,4.99,3.34,1,1,0
17196,2025,12,2025-12-01,Northeast_Monsoon,NMTR,Non-motorized Traditional,0,none,1,50,30,3.0,5.556,1,Single_Day,Negombo,Western,7.209,79.835,7.1966,79.7815,6.06,6.1,1.15,0.92,10.3,0.0,0.0,0.0,19.52,8.86,0.0,0.0,234.24,44.3,278.54,0.0,0.841,0.159,19.52,8.86,0,0,0
7554,2023,11,2023-11-11,Northeast_Monsoon,TKBO,Traditional Kerosene Boat,30,kerosene,4,300,100,8.0,14.816,1,Single_Day,Colombo,Western,6.9271,79.8612,6.8849,79.9233,8.31,9.3,1.09,0.95,9.6,6.77,7.82,65.01,19.98,11.51,249.0,16187.49,239.76,57.55,16484.8,0.982,0.015,0.003,5.0,2.88,0,1,0
10498,2024,1,2024-01-19,Northeast_Monsoon,MDBT,Motorized Day Boat,127,diesel,10,2000,1000,13.0,24.076,5,Multi_Day,Hambantota,Southern,5.9549,80.5549,7.2616,81.1285,158.51,27.6,1.53,1.21,50.4,13.75,4.37,692.87,361.56,746.29,358.0,248047.46,4338.72,0.0,252386.18,0.983,0.017,0.0,7.23,14.93,1,1,1
17059,2025,10,2025-10-01,Southwest_Monsoon,OBFR,Outboard Fiberglass,84,petrol,5,500,200,20.0,37.04,1,Single_Day,Colombo,Western,6.9271,79.8612,7.1167,79.855,21.09,17.7,2.24,1.0,10.7,12.03,6.1,128.77,23.04,16.18,299.0,38502.23,276.48,80.9,38859.61,0.991,0.007,0.002,4.61,3.24,0,1,0
17928,2025,11,2025-11-10,Northeast_Monsoon,MDBT,Motorized Day Boat,98,diesel,9,2000,1000,13.0,24.076,5,Multi_Day,Kalpitiya,North Western,8.556,79.8,8.9047,79.8185,38.83,26.7,2.02,1.24,51.9,11.74,15.69,609.4,331.44,676.93,277.0,168803.8,3977.28,0.0,172781.08,0.977,0.023,0.0,7.37,15.04,1,1,0
7085,2023,10,2023-10-07,Southwest_Monsoon,IMUL,Industrial Multi-day,254,diesel,16,10000,30000,10.0,18.52,33,Multi_Day,Colombo,Western,6.9271,79.8612,5.9,81.9,756.27,10.7,0.42,1.14,320.8,23.76,10.08,7622.68,8263.28,6858.32,351.0,2675560.68,99159.36,0.0,2774720.04,0.964,0.036,0.0,15.65,12.99,1,1,1
14753,2024,6,2024-06-28,Southwest_Monsoon,OBFR,Outboard Fiberglass,70,petrol,5,500,200,20.0,37.04,1,Single_Day,Colombo,Western,6.9271,79.8612,7.2529,79.7526,38.16,9.5,0.87,0.95,9.4,10.19,2.51,95.82,26.91,17.07,355.0,34016.1,322.92,85.35,34424.37,0.988,0.009,0.002,5.38,3.41,0,1,0
4519,2022,12,2022-12-10,Northeast_Monsoon,MDBT,Motorized Day Boat,78,diesel,10,2000,1000,13.0,24.076,1,Single_Day,Galle,Southern,6.1241,81.1185,5.9,80.2686,111.29,15.5,0.65,1.05,19.1,7.83,1.34,149.6,78.26,162.88,420.0,62832.0,939.12,814.4,64585.52,0.973,0.015,0.013,7.83,16.29,0,1,1
3024,2022,8,2022-08-13,Southwest_Monsoon,NMTR,Non-motorized Traditional,0,none,2,50,30,3.0,5.556,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.6218,80.0599,6.99,12.7,1.78,1.13,8.9,0.0,0.0,0.0,20.16,9.39,0.0,0.0,241.92,46.95,288.87,0.0,0.837,0.163,10.08,4.7,0,0,0
12121,2024,10,2024-10-02,Southwest_Monsoon,TKBO,Traditional Kerosene Boat,27,kerosene,3,300,100,8.0,14.816,1,Single_Day,Kankesanthurai,Northern,9.6615,80.0104,9.4292,80.1673,31.03,27.2,1.25,1.29,12.3,8.21,3.26,101.03,21.62,10.48,183.0,18488.49,259.44,52.4,18800.33,0.983,0.014,0.003,7.21,3.49,0,1,0
18494,2025,8,2025-08-03,Southwest_Monsoon,IMUL,Industrial Multi-day,239,diesel,13,10000,30000,10.0,18.52,25,Multi_Day,Negombo,Western,7.209,79.835,5.9,79.5,557.57,9.5,1.66,0.9,275.0,18.02,8.89,4956.14,4026.65,4334.5,289.0,1432324.46,48319.8,0.0,1480644.26,0.967,0.033,0.0,12.39,13.34,1,1,1
