boat_type_MDBT,boat_type_NMTR,boat_type_OBFR,boat_type_TKBO,engine_hp,fuel_type_kerosene,fuel_type_none,fuel_type_petrol,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_kmh,trip_days,trip_month,distance_km,wind_kph,wave_height_m,total_hours,region_North Western,region_Northern,region_Southern,region_Western,is_multi_day,has_engine
False,False,False,True,14,True,False,False,2,300,100,14.816,1,1,45.51,11.0,0.75,13.2,False,False,False,True,0,1
True,False,False,False,131,False,False,False,7,2000,1000,24.076,2,11,90.44,12.7,2.1,20.2,False,False,True,False,1,1
False,False,True,False,90,False,False,True,5,500,200,37.04,1,2,87.28,13.8,1.6,12.5,False,False,True,False,0,1
False,False,False,True,19,True,False,False,4,300,100,14.816,1,10,34.39,28.2,1.38,12.5,True,False,False,False,0,1
False,False,True,False,47,False,False,True,5,500,200,37.04,2,8,19.67,9.5,1.83,20.1,False,False,False,True,1,1
False,False,False,False,204,False,False,False,13,10000,30000,18.52,37,6,317.24,8.0,1.31,310.2,False,False,True,False,1,1
False,False,True,False,80,False,False,True,4,500,200,37.04,1,10,88.88,26.7,0.49,14.7,False,False,False,True,0,1
True,False,False,False,147,False,False,False,7,2000,1000,24.076,5,3,24.04,22.8,2.27,42.6,True,False,False,False,1,1
False,False,True,False,52,False,False,True,4,500,200,37.04,1,10,34.99,18.4,0.81,9.8,False,False,True,False,0,1
False,False,True,False,58,False,False,True,5,500,200,37.04,2,10,58.79,12.1,1.1,19.7,True,False,False,False,1,1
False,False,False,False,476,False,False,False,17,10000,30000,18.52,15,11,242.01,7.2,2.07,166.7,False,False,False,False,1,1
True,False,False,False,134,False,False,False,9,2000,1000,24.076,1,9,86.16,23.0,1.48,16.5,False,False,False,True,0,1
False,False,True,False,36,False,False,True,5,500,200,37.04,1,5,60.96,17.7,2.35,11.7,False,True,False,False,0,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,5,8.4,5.1,0.56,11.4,False,False,True,False,0,0
False,False,False,True,21,True,False,False,3,300,100,14.816,1,9,8.59,10.1,1.13,10.0,False,False,False,True,0,1
True,False,False,False,89,False,False,False,8,2000,1000,24.076,5,10,42.03,27.7,1.0,47.2,False,False,True,False,1,1
False,False,True,False,39,False,False,True,3,500,200,37.04,1,2,37.98,18.6,2.29,8.5,False,False,True,False,0,1
False,False,True,False,53,False,False,True,3,500,200,37.04,2,6,72.73,23.8,1.86,17.1,False,False,True,False,1,1
True,False,False,False,97,False,False,False,10,2000,1000,24.076,4,8,81.27,8.7,0.8,42.3,False,False,False,True,1,1
False,False,False,True,19,True,False,False,3,300,100,14.816,1,10,13.23,28.7,0.64,9.8,True,False,False,False,0,1
False,False,False,False,332,False,False,False,19,10000,30000,18.52,17,10,542.01,6.7,0.47,217.7,False,False,False,True,1,1
False,False,False,False,200,False,False,False,17,10000,30000,18.52,24,9,355.26,10.1,2.03,193.3,False,False,True,False,1,1
False,False,True,False,41,False,False,True,6,500,200,37.04,1,6,8.96,9.4,1.4,10.1,False,False,False,True,0,1
True,False,False,False,108,False,False,False,6,2000,1000,24.076,4,6,81.55,7.1,2.49,40.3,False,True,False,False,1,1
False,False,False,False,485,False,False,False,19,10000,30000,18.52,28,2,108.62,18.1,1.27,242.4,False,False,False,False,1,1
True,False,False,False,93,False,False,False,9,2000,1000,24.076,1,2,18.68,26.7,1.2,8.6,False,False,False,True,0,1
False,False,True,False,75,False,False,True,3,500,200,37.04,2,8,27.44,23.1,2.18,16.7,False,False,True,False,1,1
False,False,False,False,462,False,False,False,12,10000,30000,18.52,32,3,687.61,19.6,1.23,370.9,False,False,True,False,1,1
False,False,False,True,14,True,False,False,3,300,100,14.816,1,5,37.82,12.4,2.39,11.7,False,False,False,True,0,1
False,False,True,False,38,False,False,True,3,500,200,37.04,2,9,68.9,8.5,2.14,19.9,False,False,True,False,1,1
False,False,True,False,66,False,False,True,6,500,200,37.04,1,9,30.66,17.4,1.88,8.2,False,False,False,True,0,1
False,False,True,False,77,False,False,True,5,500,200,37.04,2,12,88.3,24.3,1.23,24.4,False,False,True,False,1,1
False,False,False,True,20,True,False,False,2,300,100,14.816,1,6,35.47,16.9,1.76,13.7,False,False,False,False,0,1
False,False,False,True,26,True,False,False,3,300,100,14.816,1,9,45.99,24.3,0.53,15.1,False,False,False,True,0,1
False,False,False,False,428,False,False,False,14,10000,30000,18.52,39,5,63.89,7.3,2.32,389.1,True,False,False,False,1,1
False,False,True,False,49,False,False,True,4,500,200,37.04,1,9,64.2,28.6,0.39,13.2,False,False,True,False,0,1
False,False,False,False,206,False,False,False,20,10000,30000,18.52,17,2,778.58,23.6,0.42,221.6,False,False,True,False,1,1
False,False,False,False,492,False,False,False,19,10000,30000,18.52,35,8,596.33,18.5,2.04,362.0,False,False,True,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,3,10.57,6.8,0.32,10.2,False,True,False,False,0,0
False,False,False,True,24,True,False,False,2,300,100,14.816,1,7,37.57,18.1,1.91,12.9,False,False,False,False,0,1
False,False,False,False,392,False,False,False,16,10000,30000,18.52,24,8,376.55,8.1,2.4,209.5,False,True,False,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,4,11.9,25.9,0.81,10.8,False,False,False,True,0,0
True,False,False,False,62,False,False,False,10,2000,1000,24.076,5,9,106.32,28.2,2.49,46.8,False,False,False,True,1,1
False,False,True,False,38,False,False,True,3,500,200,37.04,2,11,47.17,8.2,2.26,21.4,False,False,False,True,1,1
True,False,False,False,138,False,False,False,8,2000,1000,24.076,5,5,22.07,10.5,1.8,48.9,False,False,True,False,1,1
False,False,True,False,64,False,False,True,5,500,200,37.04,1,3,30.03,26.7,0.84,8.3,False,False,False,True,0,1
False,False,True,False,62,False,False,True,6,500,200,37.04,1,9,85.35,5.7,2.12,11.9,False,False,False,False,0,1
False,False,True,False,36,False,False,True,5,500,200,37.04,2,1,31.83,19.0,0.55,13.8,False,False,False,False,1,1
False,False,True,False,87,False,False,True,6,500,200,37.04,2,6,22.15,28.4,1.81,15.6,False,False,True,False,1,1
False,False,False,False,319,False,False,False,13,10000,30000,18.52,23,4,780.38,21.2,1.61,228.3,False,False,True,False,1,1
False,False,True,False,70,False,False,True,4,500,200,37.04,1,9,90.99,9.1,2.05,11.8,False,False,False,True,0,1
False,False,False,True,21,True,False,False,2,300,100,14.816,1,11,45.46,29.1,1.97,13.4,False,True,False,False,0,1
False,False,False,False,480,False,False,False,19,10000,30000,18.52,21,11,476.44,29.2,0.71,242.7,True,False,False,False,1,1
False,False,False,False,245,False,False,False,20,10000,30000,18.52,39,12,146.81,11.2,1.53,274.9,False,False,False,True,1,1
False,False,False,False,476,False,False,False,13,10000,30000,18.52,39,6,350.45,12.3,1.83,393.5,True,False,False,False,1,1
False,False,True,False,78,False,False,True,4,500,200,37.04,2,2,69.22,13.2,1.44,18.5,False,False,False,True,1,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,2,8.46,6.0,1.77,9.5,False,False,False,True,0,0
False,False,False,False,240,False,False,False,13,10000,30000,18.52,21,4,704.52,13.5,2.09,277.2,False,False,False,False,1,1
True,False,False,False,73,False,False,False,8,2000,1000,24.076,2,9,23.75,26.8,0.78,16.7,True,False,False,False,1,1
False,False,False,False,410,False,False,False,17,10000,30000,18.52,41,12,461.43,10.0,1.8,300.9,False,False,False,False,1,1
False,False,True,False,28,False,False,True,6,500,200,37.04,2,2,75.1,26.7,1.57,21.9,False,False,False,False,1,1
False,False,True,False,82,False,False,True,4,500,200,37.04,1,8,24.96,25.9,0.82,9.0,False,True,False,False,0,1
True,False,False,False,128,False,False,False,10,2000,1000,24.076,1,8,50.85,19.5,1.76,12.8,False,False,False,True,0,1
True,False,False,False,99,False,False,False,9,2000,1000,24.076,4,11,155.62,27.1,1.27,44.1,False,False,False,True,1,1
False,False,True,False,88,False,False,True,4,500,200,37.04,2,5,40.14,18.3,2.02,17.7,True,False,False,False,1,1
True,False,False,False,61,False,False,False,6,2000,1000,24.076,5,7,150.81,10.6,0.7,44.6,False,False,False,True,1,1
False,False,False,False,416,False,False,False,13,10000,30000,18.52,38,11,702.26,17.2,1.77,308.4,False,False,True,False,1,1
True,False,False,False,67,False,False,False,10,2000,1000,24.076,5,1,154.69,26.0,2.38,52.8,True,False,False,False,1,1
False,False,True,False,57,False,False,True,3,500,200,37.04,1,5,90.68,19.4,1.07,13.3,False,False,False,True,0,1
False,False,True,False,55,False,False,True,3,500,200,37.04,1,4,85.07,21.7,2.08,13.8,False,False,False,False,0,1
False,False,True,False,39,False,False,True,3,500,200,37.04,2,3,60.88,14.7,1.29,18.3,False,False,False,True,1,1
False,False,True,False,90,False,False,True,4,500,200,37.04,1,2,40.18,17.0,0.36,9.7,False,True,False,False,0,1
True,False,False,False,146,False,False,False,7,2000,1000,24.076,4,7,153.55,15.8,2.27,52.0,False,False,False,True,1,1
False,False,False,False,251,False,False,False,14,10000,30000,18.52,17,2,290.37,15.0,2.45,168.9,False,False,False,True,1,1
False,False,True,False,85,False,False,True,4,500,200,37.04,2,7,92.66,25.4,1.12,17.9,False,False,False,True,1,1
True,False,False,False,68,False,False,False,7,2000,1000,24.076,2,8,67.31,13.8,0.82,19.8,True,False,False,False,1,1
False,False,False,False,441,False,False,False,16,10000,30000,18.52,44,5,703.25,7.4,0.35,446.8,False,False,False,True,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,10,7.41,15.7,1.88,12.6,False,False,True,False,0,0
True,False,False,False,91,False,False,False,10,2000,1000,24.076,4,3,27.42,15.0,1.11,36.2,False,False,False,True,1,1
True,False,False,False,131,False,False,False,7,2000,1000,24.076,3,3,92.28,9.8,0.42,30.0,False,False,True,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,7,7.84,18.4,0.51,11.8,False,False,False,True,0,0
False,False,True,False,54,False,False,True,3,500,200,37.04,1,5,41.94,23.4,1.99,11.0,False,False,False,True,0,1
False,False,True,False,62,False,False,True,6,500,200,37.04,2,7,11.68,11.6,1.09,20.1,False,False,True,False,1,1
False,False,False,True,27,True,False,False,4,300,100,14.816,1,6,10.28,19.2,1.16,9.0,False,True,False,False,0,1
False,False,False,True,15,True,False,False,4,300,100,14.816,1,9,38.55,13.1,0.35,12.1,False,False,False,True,0,1
False,False,False,False,488,False,False,False,15,10000,30000,18.52,40,6,420.43,25.7,1.0,417.4,True,False,False,False,1,1
False,True,False,False,0,False,True,False,2,50,30,5.556,1,12,9.45,12.8,1.41,9.8,False,False,True,False,0,0
False,False,True,False,55,False,False,True,5,500,200,37.04,1,2,76.27,17.1,1.96,11.3,False,False,False,True,0,1
True,False,False,False,66,False,False,False,9,2000,1000,24.076,1,1,88.87,10.8,0.79,16.0,False,False,True,False,0,1
True,False,False,False,145,False,False,False,10,2000,1000,24.076,5,2,126.55,8.3,1.22,52.2,False,False,False,True,1,1
True,False,False,False,144,False,False,False,10,2000,1000,24.076,2,1,24.37,7.7,1.51,20.8,False,False,True,False,1,1
False,False,True,False,76,False,False,True,3,500,200,37.04,2,1,41.32,28.9,2.03,19.7,True,False,False,False,1,1
True,False,False,False,80,False,False,False,9,2000,1000,24.076,3,6,86.84,20.9,1.65,31.4,True,False,False,False,1,1
False,False,False,False,286,False,False,False,12,10000,30000,18.52,33,4,137.97,23.4,1.08,259.1,False,True,False,False,1,1
False,False,True,False,32,False,False,True,6,500,200,37.04,2,12,7.89,27.5,2.02,20.2,True,False,False,False,1,1
False,False,True,False,65,False,False,True,3,500,200,37.04,2,10,49.04,25.0,0.94,19.5,False,False,False,True,1,1
True,False,False,False,69,False,False,False,6,2000,1000,24.076,2,11,47.57,18.8,1.16,18.1,False,False,False,True,1,1
True,False,False,False,91,False,False,False,6,2000,1000,24.076,4,5,148.24,29.5,1.95,39.2,False,True,False,False,1,1
False,False,False,False,457,False,False,False,16,10000,30000,18.52,24,3,127.98,8.8,1.05,230.6,False,False,False,True,1,1
False,False,True,False,49,False,False,True,6,500,200,37.04,1,8,20.41,11.2,1.9,7.5,False,False,False,True,0,1
False,False,True,False,70,False,False,True,5,500,200,37.04,1,9,22.92,18.9,0.31,7.4,False,False,False,False,0,1
False,False,True,False,40,False,False,True,5,500,200,37.04,1,5,33.5,8.1,1.15,10.9,False,False,True,False,0,1
False,False,True,False,45,False,False,True,4,500,200,37.04,2,4,21.02,15.1,2.22,18.9,False,False,True,False,1,1
False,False,True,False,58,False,False,True,4,500,200,37.04,2,3,60.19,17.5,0.47,17.9,False,False,False,True,1,1
False,False,True,False,79,False,False,True,3,500,200,37.04,1,1,27.23,20.0,1.92,11.2,False,False,False,False,0,1
True,False,False,False,74,False,False,False,9,2000,1000,24.076,3,5,122.3,9.6,1.1,28.5,False,False,True,False,1,1
False,False,True,False,43,False,False,True,4,500,200,37.04,1,5,44.67,17.0,1.26,11.2,False,True,False,False,0,1
False,False,True,False,81,False,False,True,6,500,200,37.04,2,12,11.16,8.4,1.95,20.3,False,True,False,False,1,1
True,False,False,False,114,False,False,False,9,2000,1000,24.076,2,10,54.43,26.1,0.89,23.3,True,False,False,False,1,1
False,False,True,False,31,False,False,True,4,500,200,37.04,1,11,27.31,29.1,1.53,7.7,False,False,True,False,0,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,8,8.06,13.5,0.98,12.8,False,False,True,False,0,0
True,False,False,False,130,False,False,False,6,2000,1000,24.076,1,12,157.17,23.1,0.45,21.2,True,False,False,False,0,1
False,False,False,False,221,False,False,False,20,10000,30000,18.52,11,3,132.2,21.3,1.5,102.8,False,False,True,False,1,1
False,False,False,True,13,True,False,False,3,300,100,14.816,1,8,36.93,26.9,2.24,11.9,False,False,False,True,0,1
False,False,False,False,453,False,False,False,14,10000,30000,18.52,17,3,269.0,7.6,1.74,156.9,False,False,True,False,1,1
True,False,False,False,100,False,False,False,9,2000,1000,24.076,5,8,107.01,18.0,1.28,42.2,False,False,True,False,1,1
False,False,False,False,328,False,False,False,18,10000,30000,18.52,17,11,721.55,12.8,2.06,238.2,False,False,False,True,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,12,8.87,27.0,1.24,9.2,True,False,False,False,0,0
False,False,False,True,14,True,False,False,4,300,100,14.816,1,4,11.43,28.0,0.54,11.5,False,False,False,True,0,1
False,False,True,False,27,False,False,True,6,500,200,37.04,2,12,53.29,25.6,0.52,16.0,False,False,True,False,1,1
False,False,True,False,46,False,False,True,3,500,200,37.04,1,11,78.56,20.9,0.58,11.5,True,False,False,False,0,1
False,False,True,False,25,False,False,True,6,500,200,37.04,1,4,31.13,26.7,0.77,8.0,False,False,False,True,0,1
False,False,False,True,16,True,False,False,2,300,100,14.816,1,2,38.48,21.3,2.22,11.9,False,False,True,False,0,1
False,False,True,False,59,False,False,True,5,500,200,37.04,2,1,78.21,6.1,1.93,18.5,True,False,False,False,1,1
False,False,True,False,52,False,False,True,6,500,200,37.04,1,11,92.65,20.7,1.47,12.8,False,False,True,False,0,1
True,False,False,False,123,False,False,False,6,2000,1000,24.076,4,3,58.68,10.7,1.91,29.9,False,False,False,True,1,1
True,False,False,False,114,False,False,False,10,2000,1000,24.076,1,11,56.37,29.9,2.18,10.9,False,True,False,False,0,1
False,False,False,True,13,True,False,False,4,300,100,14.816,1,1,40.32,5.6,1.83,15.1,False,False,True,False,0,1
False,False,True,False,45,False,False,True,5,500,200,37.04,2,4,59.25,21.9,0.59,21.5,False,False,False,True,1,1
False,False,True,False,25,False,False,True,6,500,200,37.04,1,2,42.63,14.0,1.34,8.9,False,True,False,False,0,1
False,False,True,False,38,False,False,True,5,500,200,37.04,2,6,31.26,26.4,0.41,20.4,False,False,True,False,1,1
True,False,False,False,68,False,False,False,10,2000,1000,24.076,1,3,104.47,27.0,1.56,17.4,False,True,False,False,0,1
True,False,False,False,78,False,False,False,9,2000,1000,24.076,5,1,118.53,25.6,2.4,39.9,False,False,False,False,1,1
False,False,False,True,27,True,False,False,3,300,100,14.816,1,4,32.94,14.2,0.57,13.5,False,False,True,False,0,1
False,False,True,False,53,False,False,True,3,500,200,37.04,2,10,38.57,17.6,0.61,15.3,True,False,False,False,1,1
False,False,False,True,17,True,False,False,3,300,100,14.816,1,3,3.53,16.2,0.49,10.1,True,False,False,False,0,1
False,False,True,False,52,False,False,True,3,500,200,37.04,2,7,82.67,18.6,2.2,18.3,False,False,False,False,1,1
False,False,True,False,72,False,False,True,6,500,200,37.04,2,12,39.3,22.2,1.12,17.6,False,False,True,False,1,1
True,False,False,False,133,False,False,False,9,2000,1000,24.076,2,11,107.35,15.2,0.98,25.8,False,False,False,False,1,1
True,False,False,False,109,False,False,False,10,2000,1000,24.076,3,10,92.13,6.0,0.37,27.6,False,False,False,False,1,1
False,False,False,True,14,True,False,False,3,300,100,14.816,1,6,19.87,20.1,2.12,9.8,False,True,False,False,0,1
False,False,True,False,61,False,False,True,3,500,200,37.04,1,5,53.9,25.8,1.27,9.9,False,False,False,True,0,1
True,False,False,False,70,False,False,False,9,2000,1000,24.076,3,3,38.96,8.8,2.1,30.6,True,False,False,False,1,1
True,False,False,False,144,False,False,False,9,2000,1000,24.076,5,3,83.95,8.3,1.6,44.0,False,False,False,True,1,1
False,False,True,False,44,False,False,True,3,500,200,37.04,2,3,9.1,16.6,2.46,19.4,False,False,False,False,1,1
False,False,True,False,47,False,False,True,5,500,200,37.04,1,2,52.01,23.1,2.27,10.6,False,False,True,False,0,1
True,False,False,False,132,False,False,False,9,2000,1000,24.076,5,8,78.68,6.6,2.24,46.7,True,False,False,False,1,1
False,False,True,False,78,False,False,True,4,500,200,37.04,2,12,62.93,25.1,0.91,23.1,False,False,True,False,1,1
False,False,False,False,229,False,False,False,18,10000,30000,18.52,12,1,606.02,6.7,0.31,176.9,False,False,True,False,1,1
False,False,True,False,70,False,False,True,4,500,200,37.04,2,11,67.87,13.7,0.54,23.2,False,False,True,False,1,1
False,False,True,False,41,False,False,True,5,500,200,37.04,2,12,77.51,8.6,1.86,17.9,False,True,False,False,1,1
False,False,True,False,51,False,False,True,4,500,200,37.04,1,1,58.49,21.0,2.45,10.6,False,False,False,True,0,1
False,False,False,True,19,True,False,False,3,300,100,14.816,1,4,39.96,22.1,0.83,14.7,False,False,False,False,0,1
False,False,False,True,17,True,False,False,3,300,100,14.816,1,2,21.07,8.3,1.69,11.8,False,False,False,True,0,1
False,False,True,False,62,False,False,True,3,500,200,37.04,1,6,58.49,11.2,1.93,9.6,False,False,False,True,0,1
False,False,True,False,39,False,False,True,5,500,200,37.04,1,8,44.01,29.1,0.5,10.4,False,True,False,False,0,1
False,False,False,False,412,False,False,False,16,10000,30000,18.52,22,11,195.28,28.8,1.85,162.4,False,False,True,False,1,1
True,False,False,False,100,False,False,False,8,2000,1000,24.076,2,9,106.99,6.3,1.99,27.5,True,False,False,False,1,1
False,False,True,False,69,False,False,True,3,500,200,37.04,2,4,41.53,23.5,0.99,17.4,False,True,False,False,1,1
False,False,False,False,212,False,False,False,20,10000,30000,18.52,19,10,462.42,5.4,1.13,165.4,True,False,False,False,1,1
False,False,False,True,29,True,False,False,2,300,100,14.816,1,12,23.88,14.9,1.98,10.3,False,False,False,True,0,1
False,False,False,False,386,False,False,False,20,10000,30000,18.52,43,5,194.49,13.5,1.93,389.4,False,False,False,True,1,1
False,False,False,True,18,True,False,False,4,300,100,14.816,1,8,40.34,16.4,1.18,11.7,True,False,False,False,0,1
False,False,False,False,417,False,False,False,15,10000,30000,18.52,35,8,792.75,29.8,1.5,306.2,False,False,True,False,1,1
False,False,False,True,22,True,False,False,4,300,100,14.816,1,8,9.61,27.7,0.66,10.5,False,False,False,True,0,1
False,False,False,True,18,True,False,False,3,300,100,14.816,1,5,5.8,17.4,0.81,8.4,False,False,False,False,0,1
False,False,True,False,30,False,False,True,4,500,200,37.04,2,10,78.63,9.5,1.31,23.2,False,True,False,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,12,6.61,29.0,0.73,12.4,False,True,False,False,0,0
True,False,False,False,148,False,False,False,7,2000,1000,24.076,3,2,40.53,29.5,0.72,32.3,False,False,True,False,1,1
True,False,False,False,67,False,False,False,9,2000,1000,24.076,1,4,81.44,19.1,2.0,12.8,False,False,False,False,0,1
False,False,False,True,30,True,False,False,3,300,100,14.816,1,8,17.48,25.2,0.86,10.0,False,False,False,True,0,1
True,False,False,False,86,False,False,False,7,2000,1000,24.076,3,7,86.73,14.3,1.16,36.2,False,False,False,True,1,1
True,False,False,False,112,False,False,False,8,2000,1000,24.076,2,10,110.21,26.9,2.44,27.9,False,False,False,False,1,1
True,False,False,False,127,False,False,False,10,2000,1000,24.076,3,12,96.68,24.0,0.92,36.8,False,False,False,True,1,1
False,False,False,True,27,True,False,False,2,300,100,14.816,1,3,29.6,19.8,0.37,11.5,False,False,False,False,0,1
False,False,False,True,17,True,False,False,4,300,100,14.816,1,8,17.95,13.8,2.11,10.3,False,False,False,True,0,1
False,False,True,False,81,False,False,True,3,500,200,37.04,1,9,11.52,29.3,0.8,7.8,False,True,False,False,0,1
True,False,False,False,95,False,False,False,6,2000,1000,24.076,5,5,125.06,22.8,2.1,47.8,False,False,False,True,1,1
False,False,True,False,40,False,False,True,5,500,200,37.04,1,11,55.0,11.7,1.44,11.5,False,False,False,False,0,1
False,False,True,False,45,False,False,True,3,500,200,37.04,2,3,76.27,14.2,2.35,21.7,False,True,False,False,1,1
False,False,False,False,325,False,False,False,20,10000,30000,18.52,26,9,82.83,13.6,1.04,254.0,False,False,False,True,1,1
True,False,False,False,149,False,False,False,9,2000,1000,24.076,4,4,70.73,8.1,2.05,43.4,False,False,True,False,1,1
False,True,False,False,0,False,True,False,1,50,30,5.556,1,6,5.5,8.0,2.42,11.8,False,False,False,True,0,0
True,False,False,False,127,False,False,False,9,2000,1000,24.076,2,5,141.36,6.8,0.99,30.5,False,False,True,False,1,1
False,False,True,False,77,False,False,True,5,500,200,37.04,1,1,37.77,15.8,2.23,9.0,False,False,False,True,0,1
True,False,False,False,125,False,False,False,9,2000,1000,24.076,1,7,108.05,10.0,1.22,15.4,False,False,False,True,0,1
False,False,False,False,261,False,False,False,12,10000,30000,18.52,11,9,778.3,23.4,1.85,165.3,False,False,True,False,1,1
False,False,True,False,48,False,False,True,4,500,200,37.04,2,7,93.17,9.3,2.34,20.5,False,False,False,True,1,1
True,False,False,False,93,False,False,False,8,2000,1000,24.076,3,6,113.02,12.8,0.9,37.8,False,False,False,True,1,1
False,False,False,True,30,True,False,False,4,300,100,14.816,1,9,37.75,6.3,1.68,14.8,False,True,False,False,0,1
False,False,False,True,19,True,False,False,3,300,100,14.816,1,2,46.97,23.6,1.02,12.7,False,False,False,True,0,1
False,False,True,False,50,False,False,True,5,500,200,37.04,2,9,26.63,11.1,1.87,15.0,False,False,False,True,1,1
