boat_type,engine_hp,fuel_type,crew_size,ice_capacity_kg,water_capacity_L,avg_speed_kmh,trip_days,trip_month,distance_km,wind_kph,wave_height_m,weather_factor,region,is_multi_day,has_engine,is_deep_sea,fuel_cost_lkr,ice_cost_lkr,water_cost_lkr,total_base_cost_lkr
MDBT,120,Diesel,3,800,500,15,2,8,216.90911887820943,36.570589697657866,2.3524045273509753,0.8814317246087697,East,True,True,True,133833.40511533216,9600.0,2500.0,145933.40511533216
NMTR,0,None,2,100,30,8,6,1,481.86356835656665,20.69967039775718,2.7710386498275126,0.8708085091793766,West,True,False,True,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,5,200,100,12,2,9,106.69182661353275,21.94971186128578,2.5542364899310983,1.2653472356181972,South,True,True,True,73829.33242808028,2400.0,500.0,76729.33242808028
TKBO,85,Diesel,4,300,150,13,4,3,353.37447073991797,25.789645001422294,0.7545300298277562,1.2850395370599352,North,True,True,True,259797.69129001166,3600.0,750.0,264147.69129001163
TKBO,85,Diesel,6,300,150,13,4,1,92.77482989205967,37.74360052920239,1.1623716476815362,1.0656475655295945,South,True,True,False,56562.34289620471,3600.0,750.0,60912.34289620471
TKBO,85,Diesel,3,300,150,13,1,8,188.38011213417428,14.818468670475946,2.4834975419514285,1.0288919342669132,East,False,True,True,110888.99315474364,2880.0,525.0,114293.99315474364
OBFR,40,Diesel,4,150,50,10,1,3,291.05575759246915,9.611413253519402,2.9993152977149484,0.8203760579871631,South,False,True,True,83571.311273862,1440.0,175.0,85186.311273862
OBFR,40,Diesel,2,150,50,10,7,5,117.52915911854059,12.692179301233223,1.001390920767399,1.0184548047515647,South,True,True,True,41894.347880941095,1800.0,250.0,43944.347880941095
IMUL,75,Diesel,6,200,100,12,4,8,374.91976655603713,13.572767256992972,2.445661507867243,1.096355715369758,East,True,True,True,224790.4689126287,2400.0,500.0,227690.4689126287
TKBO,85,Diesel,5,300,150,13,6,2,335.2271315102887,34.393329424505595,0.5274410138171927,0.948322500125004,East,True,True,True,181877.4439623312,3600.0,750.0,186227.4439623312
TKBO,85,Diesel,3,300,150,13,1,10,29.518048539095307,14.13126799120463,1.637175265988902,0.9290906687660452,West,False,True,False,15690.23207444683,2880.0,525.0,19095.23207444683
MDBT,120,Diesel,2,800,500,15,4,3,443.3787814720148,35.5970703138534,2.8606026369704036,1.1221466687719406,West,True,True,True,348275.2158430885,9600.0,2500.0,360375.2158430885
NMTR,0,None,4,100,30,8,5,11,192.44630710367466,21.47364697724777,1.5870988970582909,1.3529560787571195,East,True,False,True,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,2,150,50,10,4,7,116.44690936570132,13.64938736005095,2.37542034767712,1.2964459050779735,South,True,True,True,52838.49158215229,1800.0,250.0,54888.49158215229
IMUL,75,Diesel,2,200,100,12,2,4,218.79149859784687,11.56166101949895,1.205546840071881,0.9670392975571267,South,True,True,True,115707.79998505708,2400.0,500.0,118607.79998505708
TKBO,85,Diesel,2,300,150,13,7,11,419.15138416429903,39.995134847261454,1.7425837933002861,1.4654953465297078,West,True,True,True,351430.11516888306,3600.0,750.0,355780.11516888306
NMTR,0,None,4,100,30,8,1,11,93.41214609388295,16.63646597620644,2.5364199706258885,1.347679057810709,South,False,False,False,0.0,960.0,105.0,1065.0
NMTR,0,None,5,100,30,8,4,2,253.93230001721753,13.936518707055342,2.344543608578757,1.0814262215729313,North,True,False,True,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,6,800,500,15,1,2,168.2704146023068,37.90915640234022,1.216580059709794,1.25081761177745,West,False,True,True,147332.91868796112,7680.0,1750.0,156762.91868796112
OBFR,40,Diesel,2,150,50,10,4,8,335.1113960690664,20.28058526450239,2.4443543684900315,1.1755821101053978,East,True,True,True,137882.83673893358,1800.0,250.0,139932.83673893358
OBFR,40,Diesel,2,150,50,10,7,8,382.84964432637867,38.71970479024033,2.447409038089458,1.4185107351489048,South,True,True,True,190076.71564871786,1800.0,250.0,192126.71564871786
IMUL,75,Diesel,3,200,100,12,1,9,56.35034580987661,15.662972698943928,0.8330376884950914,0.8416784800183988,North,False,True,False,25937.665145966927,1920.0,350.0,28207.665145966927
IMUL,75,Diesel,4,200,100,12,7,10,379.8336512546755,12.470819320185308,1.2501063390265226,0.8089363993243515,West,True,True,True,168033.5049466602,2400.0,500.0,170933.5049466602
IMUL,75,Diesel,2,200,100,12,4,5,480.39919513886497,27.04940070320686,2.028704345312301,1.428194393518377,West,True,True,True,375212.81719034945,2400.0,500.0,378112.81719034945
IMUL,75,Diesel,2,200,100,12,5,1,464.24075714957996,20.085282143396103,1.896167831252901,0.8640835461906718,South,True,True,True,219374.9685990907,2400.0,500.0,222274.9685990907
MDBT,120,Diesel,3,800,500,15,5,9,390.1147249824069,31.05955226723632,0.9722681309494603,1.4191733470874672,South,True,True,True,387548.29400097247,9600.0,2500.0,399648.29400097247
IMUL,75,Diesel,2,200,100,12,2,9,101.37802026956325,27.8651634286784,1.552501836389876,1.3077735401684554,South,True,True,True,72504.40994081041,2400.0,500.0,75404.40994081041
OBFR,40,Diesel,6,150,50,10,2,9,166.47980075560176,19.184548588089932,1.4313991884570956,1.082622501430472,East,True,True,True,63082.172416086665,1800.0,250.0,65132.172416086665
IMUL,75,Diesel,4,200,100,12,2,8,353.2681290698153,28.53330781314103,1.4427398686754453,0.8464557533715984,South,True,True,True,163529.75643263746,2400.0,500.0,166429.75643263746
MDBT,120,Diesel,2,800,500,15,1,10,250.43818713069123,38.243634786223744,2.3113112601511654,1.327142953928783,West,False,True,True,232657.09281163642,7680.0,1750.0,242087.09281163642
NMTR,0,None,5,100,30,8,1,8,258.4827631037941,21.89338561840953,2.101016504653169,1.3606866702176035,West,False,False,True,0.0,960.0,105.0,1065.0
MDBT,120,Diesel,4,800,500,15,7,5,132.89844780750659,14.901298243729194,0.7229914149092843,1.2909068555179721,West,True,True,True,120091.66215368536,9600.0,2500.0,132191.66215368535
TKBO,85,Diesel,5,300,150,13,7,3,335.8108322104793,31.19455715987303,0.8836970067979786,0.8201879659728452,North,True,True,True,157576.5981118318,3600.0,750.0,161926.5981118318
TKBO,85,Diesel,3,300,150,13,3,10,165.69775372696424,8.496285765874418,2.663359306968334,1.0866157935237681,West,True,True,True,103009.25837492601,3600.0,750.0,107359.25837492601
NMTR,0,None,6,100,30,8,6,8,74.5881283178551,21.728907983737816,1.4188088552688147,1.1286408583580798,East,True,False,False,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,2,200,100,12,4,2,333.5055269266425,37.216820636064746,0.7647705859696017,1.2190808712180325,North,True,True,True,222343.08267596274,2400.0,500.0,225243.08267596274
TKBO,85,Diesel,4,300,150,13,1,7,332.6073386473369,34.8617114732804,1.5438621702113957,1.3333634307142748,East,False,True,True,253725.4278586893,2880.0,525.0,257130.4278586893
TKBO,85,Diesel,6,300,150,13,1,11,229.74903694521896,5.895217392605339,2.1573436115832925,1.1249257666073418,East,False,True,True,147863.57100978354,2880.0,525.0,151268.57100978354
MDBT,120,Diesel,3,800,500,15,7,12,166.78040017206473,17.08122654459946,2.729708246239124,1.190246615203256,West,True,True,True,138956.8647509312,9600.0,2500.0,151056.8647509312
IMUL,75,Diesel,6,200,100,12,1,11,391.61144622656127,29.17307609727701,1.0194582449783742,1.0896895440873322,North,False,True,True,233370.64750672004,1920.0,350.0,235640.64750672004
MDBT,120,Diesel,4,800,500,15,2,12,87.401454151491,14.48476295352441,1.250043428149133,1.3679151132185619,West,True,True,False,83690.43903577262,9600.0,2500.0,95790.43903577262
OBFR,40,Diesel,3,150,50,10,6,11,156.52975977809055,17.407178041702185,0.651044291066297,0.9701566892089483,West,True,True,True,53150.43772814452,1800.0,250.0,55200.43772814452
TKBO,85,Diesel,2,300,150,13,6,2,213.489190821702,39.04832919811125,0.6614049711333287,0.8793281826275514,West,True,True,True,107401.54037946624,3600.0,750.0,111751.54037946624
TKBO,85,Diesel,4,300,150,13,4,10,45.440343233003695,6.284611823738033,0.9369802421826857,0.8107748645271087,North,True,True,False,21077.810996767614,3600.0,750.0,25427.810996767614
OBFR,40,Diesel,6,150,50,10,3,9,297.66040364426067,18.42954106738096,0.9551817726557639,1.412424970546101,South,True,True,True,147148.0453974949,1800.0,250.0,149198.0453974949
TKBO,85,Diesel,3,300,150,13,3,5,417.5627689038457,18.45105236199625,0.8503713584019876,1.278595418896395,East,True,True,True,305448.88157325,3600.0,750.0,309798.88157325
MDBT,120,Diesel,6,800,500,15,1,9,301.55457459173164,34.62511036664384,1.553205782150922,1.2868152500984238,North,False,True,True,271631.5177251081,7680.0,1750.0,281061.5177251081
OBFR,40,Diesel,3,150,50,10,6,5,143.47948749928878,10.193774434938057,0.5776097886150637,0.8611312746707649,South,True,True,True,43244.13588577972,1800.0,250.0,45294.13588577972
IMUL,75,Diesel,3,200,100,12,6,4,316.46371493654294,35.29303045333934,2.983971176656638,0.8476413258158008,North,True,True,True,146697.9734617058,2400.0,500.0,149597.9734617058
NMTR,0,None,6,100,30,8,6,10,145.77753452829995,8.650866856107363,2.141312484426329,0.8067063618231521,East,True,False,True,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,4,150,50,10,7,10,290.1033164394615,35.66032092141142,0.5671274232173885,1.2592837493634317,West,True,True,True,127862.8372100279,1800.0,250.0,129912.8372100279
TKBO,85,Diesel,4,300,150,13,6,2,452.73772193788693,25.939132332283542,2.053100901183698,0.998001274009197,South,True,True,True,258500.50947614375,3600.0,750.0,262850.50947614375
OBFR,40,Diesel,5,150,50,10,5,6,302.5909878872111,37.99665006970164,0.534680542586629,1.1109155803737534,West,True,True,True,117653.56502360597,1800.0,250.0,119703.56502360597
IMUL,75,Diesel,5,200,100,12,3,10,321.22673680290643,20.172697214389686,1.5139728847607068,1.4540816868488489,North,True,True,True,255439.7974358789,2400.0,500.0,258339.7974358789
TKBO,85,Diesel,3,300,150,13,3,11,23.966483303216943,16.229496999188605,0.7690658427775496,1.096002206701205,West,True,True,False,15027.937076326967,3600.0,750.0,19377.93707632697
MDBT,120,Diesel,3,800,500,15,7,5,299.7283469350266,15.831895741080457,1.4998899722332746,0.9941964662651044,East,True,True,True,208592.20435359929,9600.0,2500.0,220692.20435359929
IMUL,75,Diesel,5,200,100,12,2,6,140.5935825528606,35.77200626418032,2.2756691657417774,1.1534807296034686,North,True,True,True,88687.80603628702,2400.0,500.0,91587.80603628702
MDBT,120,Diesel,6,800,500,15,6,1,158.43521360109332,29.842547240338593,1.8394565636375646,1.0349802982490188,East,True,True,True,114784.1272382046,9600.0,2500.0,126884.1272382046
IMUL,75,Diesel,3,200,100,12,2,3,258.2922835923173,5.595688243015175,1.0616918749796942,1.1556953234658027,East,True,True,True,163246.116378485,2400.0,500.0,166146.116378485
IMUL,75,Diesel,5,200,100,12,2,5,222.27696217593746,28.880142287187013,2.768428286558631,1.2794599606724881,North,True,True,True,155528.2275772012,2400.0,500.0,158428.2275772012
OBFR,40,Diesel,4,150,50,10,4,4,280.864378136754,37.65052202503164,1.7726756931601484,1.497776005143951,East,True,True,True,147235.1741955176,1800.0,250.0,149285.1741955176
OBFR,40,Diesel,3,150,50,10,6,1,345.02053885222335,19.064801290264867,2.095542205000868,1.104447143603989,North,True,True,True,133369.93201701654,1800.0,250.0,135419.93201701654
IMUL,75,Diesel,2,200,100,12,1,9,54.25804180442629,30.11354942386458,2.704714816129067,1.2868011100978531,North,False,True,False,38182.43429528909,1920.0,350.0,40452.43429528909
TKBO,85,Diesel,2,300,150,13,7,7,286.74522679047476,15.495437861248705,1.4385080680573337,1.0088294267977396,East,True,True,True,165499.83514818596,3600.0,750.0,169849.83514818596
TKBO,85,Diesel,2,300,150,13,4,8,228.75132377218,14.509858286930806,2.5107546490046344,1.2793833826156762,East,True,True,True,167435.65598014608,3600.0,750.0,171785.65598014608
MDBT,120,Diesel,5,800,500,15,7,5,218.6608577927481,19.96631513415285,1.6911730819085629,1.2811514866472886,East,True,True,True,196096.3781229254,9600.0,2500.0,208196.3781229254
IMUL,75,Diesel,5,200,100,12,7,2,472.8675801789494,34.545130208142794,1.1113193587032213,1.1924141508022124,North,True,True,True,308357.6530020979,2400.0,500.0,311257.6530020979
MDBT,120,Diesel,6,800,500,15,1,11,57.89497395945013,21.467659407071675,1.8258985479639287,1.3855875020544957,South,False,True,False,56152.98664498921,7680.0,1750.0,65582.9866449892
MDBT,120,Diesel,6,800,500,15,1,12,335.762290435011,25.029358840934282,0.9649953829742901,1.4159655204439303,North,False,True,True,332799.4784248795,7680.0,1750.0,342229.4784248795
NMTR,0,None,3,100,30,8,7,4,228.933738075275,39.27748857164651,0.6063687173817771,1.1240329259670727,North,True,False,True,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,2,200,100,12,7,9,285.49002647568074,31.080130155714535,0.8560380097868907,0.9757043486230359,North,True,True,True,152334.14236295244,2400.0,500.0,155234.14236295244
MDBT,120,Diesel,6,800,500,15,5,4,352.4233708516572,25.7772467554093,1.7464602156477547,1.3616980243911887,East,True,True,True,335925.9454865894,9600.0,2500.0,348025.9454865894
MDBT,120,Diesel,5,800,500,15,7,12,317.83933332671904,18.180314333385446,2.9935992194396563,1.4749868073777932,South,True,True,True,328166.17646586447,9600.0,2500.0,340266.17646586447
OBFR,40,Diesel,3,150,50,10,7,6,134.89563387437693,13.354098349629519,1.263999574943952,1.217908544080521,North,True,True,True,57501.6907691665,1800.0,250.0,59551.6907691665
IMUL,75,Diesel,4,200,100,12,5,6,77.80707884794603,18.52558143950053,2.244069067008977,1.2393191244240436,West,True,True,False,52733.953579906476,2400.0,500.0,55633.953579906476
OBFR,40,Diesel,4,150,50,10,1,4,238.07726833885266,24.829900769594417,1.2089933790299332,1.3660637485280613,East,False,True,True,113830.05396920297,1440.0,175.0,115445.05396920297
NMTR,0,None,3,100,30,8,1,11,453.74096862403667,5.233032027297951,1.288290179731954,1.4469254123861992,South,False,False,True,0.0,960.0,105.0,1065.0
IMUL,75,Diesel,3,200,100,12,7,12,218.23060035485884,22.164650266979567,2.6492350160748535,0.8164858101145283,West,True,True,True,97443.38434825136,2400.0,500.0,100343.38434825136
IMUL,75,Diesel,2,200,100,12,4,7,51.52802650159206,7.832386040968782,2.3052027902435945,0.862532566803687,South,True,True,False,24305.641150408304,2400.0,500.0,27205.641150408304
TKBO,85,Diesel,6,300,150,13,6,5,435.02265640739773,34.864843645724555,1.7174446412295106,1.176318291104856,South,True,True,True,292765.80685321323,3600.0,750.0,297115.80685321323
TKBO,85,Diesel,2,300,150,13,6,2,427.42651417538514,33.841715798409396,1.544880094080066,1.2316085952996767,West,True,True,True,301174.2215258108,3600.0,750.0,305524.2215258108
OBFR,40,Diesel,3,150,50,10,3,9,226.61917452325318,33.82492281647456,1.0845582515874923,0.9374863429201571,East,True,True,True,74358.33340578632,1800.0,250.0,76408.33340578632
NMTR,0,None,6,100,30,8,5,5,179.62775625255094,15.323414922650821,1.19970453680908,1.4041514860032365,West,True,False,True,0.0,1200.0,150.0,1350.0
NMTR,0,None,3,100,30,8,1,2,390.36447451361573,5.5853285327604265,1.9923809969101252,1.4327321688269588,North,False,False,True,0.0,960.0,105.0,1065.0
IMUL,75,Diesel,5,200,100,12,5,11,40.134185321748355,31.614125893567223,2.0463583414235567,1.0780396932904497,East,True,True,False,23661.227643987317,2400.0,500.0,26561.227643987317
MDBT,120,Diesel,2,800,500,15,7,3,289.7007672302367,24.386086087873775,1.2077053220121787,0.9095399676308328,West,True,True,True,184446.09851445185,9600.0,2500.0,196546.09851445185
IMUL,75,Diesel,2,200,100,12,7,3,49.23706533598951,31.90703981712924,2.0375590283502696,1.0715451471025212,East,True,True,False,28852.981947534787,2400.0,500.0,31752.981947534787
MDBT,120,Diesel,2,800,500,15,1,11,181.71943659485046,28.32688646872473,0.6416087807357108,1.2240840139071254,East,False,True,True,155707.90014637617,7680.0,1750.0,165137.90014637617
TKBO,85,Diesel,4,300,150,13,2,8,297.28847662745613,12.399798797931556,1.1825377794168752,0.8568360729952708,East,True,True,True,145733.51640560426,3600.0,750.0,150083.51640560426
NMTR,0,None,4,100,30,8,4,12,199.91691549733483,21.834817829397174,2.637027007442466,1.1404563144010005,East,True,False,True,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,6,200,100,12,7,12,346.20334393008073,23.004743549683003,1.308054951288273,0.9846959233685617,East,True,True,True,186432.43359153142,2400.0,500.0,189332.43359153142
OBFR,40,Diesel,2,150,50,10,3,5,289.7910409915321,12.501521137554892,1.0440474602385459,1.3923457647463446,East,True,True,True,141221.26500509793,1800.0,250.0,143271.26500509793
OBFR,40,Diesel,3,150,50,10,5,5,478.5849534444774,23.629572865977398,1.6272604087830587,1.3418988335584467,North,True,True,True,224774.4067750187,1800.0,250.0,226824.4067750187
NMTR,0,None,4,100,30,8,3,1,292.25905625745895,31.101649835835374,2.341069706281965,1.1210329029665924,East,True,False,True,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,3,800,500,15,1,9,232.0432491675574,8.248906372778068,1.260669888565896,1.1500309603012613,North,False,True,True,186799.84447011363,7680.0,1750.0,196229.84447011363
TKBO,85,Diesel,4,300,150,13,3,9,326.0649926780432,21.22654675948426,2.2104556740335184,1.0667851525146639,West,True,True,True,199005.35509761993,3600.0,750.0,203355.35509761993
MDBT,120,Diesel,2,800,500,15,1,10,330.8085897226126,16.80533938542715,1.463656593630722,0.9759621397507678,North,False,True,True,225999.6613515304,7680.0,1750.0,235429.6613515304
NMTR,0,None,2,100,30,8,6,5,291.6816919507685,9.148933650868374,2.1804526893215987,0.9822156577234753,North,True,False,True,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,3,800,500,15,3,6,38.94728499054486,24.707448913533007,2.0104328260818116,0.8804576425768708,South,True,True,False,24004.004309281267,9600.0,2500.0,36104.00430928127
IMUL,75,Diesel,4,200,100,12,3,12,254.1900716316133,8.132481587018065,1.8068948313808046,1.0738577724278249,East,True,True,True,149277.1788022777,2400.0,500.0,152177.1788022777
TKBO,85,Diesel,2,300,150,13,6,11,337.85615155963166,21.22535397730597,0.8861882963882792,1.4940384841872814,South,True,True,True,288786.73564130074,3600.0,750.0,293136.73564130074
OBFR,40,Diesel,4,150,50,10,2,1,147.47833212957357,15.218443800553441,2.6228711307073898,0.9801439765693459,South,True,True,True,50592.49961895324,1800.0,250.0,52642.49961895324
TKBO,85,Diesel,5,300,150,13,6,12,287.56811127772073,14.171057128558738,2.9576526992470606,0.8832525950545379,North,True,True,True,145314.6076171947,3600.0,750.0,149664.6076171947
OBFR,40,Diesel,4,150,50,10,1,1,269.2564624040406,14.167865245355719,1.046481711480486,0.884346296399876,East,False,True,True,83340.58435806101,1440.0,175.0,84955.58435806101
OBFR,40,Diesel,4,150,50,10,3,6,392.62120760417054,36.572882469620104,2.748758460137478,1.485966990782104,South,True,True,True,204197.7540332818,1800.0,250.0,206247.7540332818
OBFR,40,Diesel,6,150,50,10,2,5,74.40645682185801,23.181147107355226,2.5280639371256144,0.8355568425410066,West,True,True,False,21759.7884443574,1800.0,250.0,23809.7884443574
OBFR,40,Diesel,2,150,50,10,2,9,275.17654675072595,6.47347939090366,1.407702604002952,0.8202558660322765,South,True,True,True,79000.31183337577,1800.0,250.0,81050.31183337577
IMUL,75,Diesel,5,200,100,12,4,12,91.59470421691424,32.88493263353541,1.0373296257959503,1.37976692178626,East,True,True,False,69113.70325195805,2400.0,500.0,72013.70325195805
TKBO,85,Diesel,6,300,150,13,4,9,418.2820246289061,27.994519777718438,2.574033949796841,1.429545602269184,South,True,True,True,342098.24148636474,3600.0,750.0,346448.24148636474
MDBT,120,Diesel,4,800,500,15,1,9,249.62169520358674,38.53493751140576,1.087225032691194,0.8155996144230234,South,False,True,True,142513.9508517668,7680.0,1750.0,151943.9508517668
TKBO,85,Diesel,2,300,150,13,6,9,380.9160979027743,24.813519266998416,0.6363984173954813,1.2781792336685216,West,True,True,True,278550.9927260348,3600.0,750.0,282900.9927260348
IMUL,75,Diesel,3,200,100,12,5,8,475.0459973490771,36.82616352346359,0.5545296304208274,0.8933897174194161,South,True,True,True,232094.41135393878,2400.0,500.0,234994.41135393878
TKBO,85,Diesel,3,300,150,13,2,11,338.5938423493145,23.93535278230623,2.4524756538415025,0.8325675961252367,South,True,True,True,161280.62069769984,3600.0,750.0,165630.62069769984
TKBO,85,Diesel,5,300,150,13,2,8,155.58799102017818,10.00512416123171,2.5962144359074704,1.2104951878899821,West,True,True,True,107751.36161723104,3600.0,750.0,112101.36161723104
NMTR,0,None,6,100,30,8,7,12,348.1390012332649,11.153565342614982,2.889773146586063,1.2223152292344392,East,True,False,True,0.0,1200.0,150.0,1350.0
NMTR,0,None,2,100,30,8,1,10,305.12420259910084,9.766605202233972,0.9764443177620927,1.2768471356329525,West,False,False,True,0.0,960.0,105.0,1065.0
NMTR,0,None,4,100,30,8,5,2,397.63024625439743,27.932487448797257,1.6706748822848991,1.301196310951355,East,True,False,True,0.0,1200.0,150.0,1350.0
NMTR,0,None,2,100,30,8,7,4,110.53765683528843,7.5079646866743595,1.585013748094024,1.047453691623078,South,True,False,True,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,3,150,50,10,2,2,471.8517719779264,39.927458032487166,0.5371012968207479,1.33813558338889,South,True,True,True,220990.57615906742,1800.0,250.0,223040.57615906742
IMUL,75,Diesel,6,200,100,12,3,8,357.8646887784689,29.779600005570238,1.2640222442555586,1.0142037165097277,West,True,True,True,198487.02199742512,2400.0,500.0,201387.02199742512
IMUL,75,Diesel,3,200,100,12,5,12,229.96851740637422,19.042613537743094,2.0541433187440674,1.019734543462866,South,True,True,True,128245.92873105845,2400.0,500.0,131145.92873105843
NMTR,0,None,4,100,30,8,7,11,329.67676608721973,24.33076056947515,2.8200465472644805,1.1595004067393773,North,True,False,True,0.0,1200.0,150.0,1350.0
NMTR,0,None,4,100,30,8,3,10,106.05168590202324,27.506377739555365,1.120402840554695,0.8123647928445528,South,True,False,True,0.0,1200.0,150.0,1350.0
IMUL,75,Diesel,3,200,100,12,1,10,478.8430092805984,7.207320202648553,0.7674337804774346,0.9801239798923951,South,False,True,True,256662.39156236392,1920.0,350.0,258932.39156236392
NMTR,0,None,6,100,30,8,6,2,471.2357365282444,10.08224247914809,2.000648881593722,0.9575662243072729,East,True,False,True,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,2,150,50,10,2,9,451.54707491539136,29.25309513850091,1.4543269235348106,0.8619813467085917,North,True,True,True,136228.80450826304,1800.0,250.0,138278.80450826304
IMUL,75,Diesel,6,200,100,12,2,7,393.69834565942614,19.681080796060762,1.4667622887106684,0.8516489848916078,South,True,True,True,183363.24805003818,2400.0,500.0,186263.24805003818
NMTR,0,None,4,100,30,8,2,6,81.14435299410518,39.694721520667656,2.4883521483203896,1.1290366208883396,West,True,False,False,0.0,1200.0,150.0,1350.0
MDBT,120,Diesel,4,800,500,15,4,6,203.18760913064332,6.559694502141235,2.296482624883801,0.8656423330508197,West,True,True,True,123121.45721040768,9600.0,2500.0,135221.45721040768
OBFR,40,Diesel,2,150,50,10,7,4,381.8467498496308,27.10601251180867,2.4856805714310353,1.25811640102241,South,True,True,True,168142.6805320227,1800.0,250.0,170192.6805320227
NMTR,0,None,5,100,30,8,7,3,103.96526466108753,19.11673899647178,2.89720135315192,1.2967717800213698,West,True,False,True,0.0,1200.0,150.0,1350.0
OBFR,40,Diesel,2,150,50,10,5,8,498.4942337229153,10.309630840118029,0.6834670486431347,1.1289360579320038,North,True,True,True,196968.84029234402,1800.0,250.0,199018.84029234402
